1013,Merrimack Valley Regional Transit Authority,-0.56903969741093,northeast,25009,22,0.096491228,0.79,MA,Massachusetts,FTA Region1,16,0.125,True,0.07622807,5.291741788521926,5.324474689077185,5.024355821524042
7006,"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, d.b.a.",1.3732062158192484,midwest,29510,0,0.0,0.67,MO,Missouri,FTA Region7,16,0.12,True,0.0,5.282888571165281,5.599903284602192,5.032476115258543
4008,Charlotte Area Transit System,0.8830914855690212,south,37119,4,0.01754386,0.63,NC,North Carolina,FTA Region4,15,0.107,True,0.011052632,5.2937688018201206,5.4911944413787195,4.5872465373208575
5036,Capital Area Transportation Authority,0.1387853862941898,midwest,26065,4,0.01754386,0.72,MI,Michigan,FTA Region5,15,0.12,True,0.012631579,5.293389532282308,5.48024300432658,4.930378336009763
3091,Blacksburg Transit,-1.145626890157307,south,51121,8,0.035087719,0.73,VA,Virginia,FTA Region3,15,0.107,True,0.025614035,5.296983343560293,5.4239399265869865,4.8125017898832185
6010,"City Transit Management Company, Inc.",-0.7635618613550873,south,48303,8,0.035087719,0.63,TX,Texas,FTA Region6,15,0.107,True,0.022105263,5.299019827558149,5.439443297676696,4.789275764196877
7015,Wichita Transit,-0.6157919884406758,midwest,20173,8,0.035087719,0.62,KS,Kansas,FTA Region7,15,0.12,True,0.021754386,5.293797990216363,5.460089977851182,4.708792703512807
5058,Rockford Mass Transit District,-0.5544252427372708,midwest,17201,9,0.039473684,0.69,IL,Illinois,FTA Region5,15,0.12,True,0.027236842,5.2915492720516095,5.4340923322494605,5.167357020739881
3070,Potomac and Rappahannock Transportation Commission,-0.09580523329733318,south,51153,10,0.043859649,0.73,VA,Virginia,FTA Region3,15,0.107,True,0.032017544,5.29017453462797,5.423631705724333,5.030446026567387
4027,Pinellas Suncoast Transit Authority,0.4039959531299631,south,12103,10,0.043859649,0.7,FL,Florida,FTA Region4,15,0.107,True,0.030701754,5.295651335400924,5.4332822140039845,5.2614161795851135
3018,Red Rose Transit Authority,-0.4746640281865124,northeast,42071,11,0.048245614000000006,0.79,PA,Pennsylvania,FTA Region3,15,0.125,True,0.038114035,5.286533665393104,5.408637677722453,4.859590603542256
3019,Southeastern Pennsylvania Transportation Authority,2.4122063278561368,northeast,42101,14,0.061403509,0.79,PA,Pennsylvania,FTA Region3,15,0.125,True,0.048508772,5.2904627737150784,5.419441749082282,4.520158899512113
9015,San Francisco Municipal Railway,2.062242298306922,west,6075,1,0.004385965,0.7,CA,California,FTA Region9,14,0.067,True,0.003070176,5.2784092266856275,5.3976306744812295,4.992399091662434
2113,"Regional Transit Service, Inc. and Lift Line, Inc.",0.4776278396772698,northeast,36055,6,0.026315789,0.59,NY,New York,FTA Region2,14,0.125,True,0.015526316,5.294236907072598,5.456730876776513,4.559264286220864
3012,Cambria County Transit Authority,-0.8699386497612899,northeast,42021,7,0.030701754,0.79,PA,Pennsylvania,FTA Region3,14,0.125,True,0.024254386,5.301286601124344,5.456360075186974,4.738129005376468
4078,Cobb County Department of Transportation Authority,-0.4144944681522287,south,13067,7,0.030701754,0.53,GA,Georgia,FTA Region4,14,0.107,True,0.01627193,5.297931325632881,5.429275509098273,5.286581251049991
5010,METRO Regional Transit Authority,0.10502486074794147,midwest,39153,7,0.030701754,0.64,OH,Ohio,FTA Region5,14,0.12,True,0.019649123,5.2796559457209735,5.430780748552964,4.416621025152158
5006,Belle Urban System - Racine,-0.9187625233136704,midwest,55101,8,0.035087719,0.7,WI,Wisconsin,FTA Region5,14,0.12,True,0.024561403,5.2960751395905685,5.4186492425722825,4.969936767205023
