"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","officeRole","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","usedDisasterWindows","run_id","run_duration"
"34",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,128,5,0,0,0,0,0,0,0,5,0,15,12.2726550102234
"35",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,135,10,0,0,0,0,0,0,0,10,0,2,12.0985736846924
"36",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,135,10,0,0,0,0,0,0,0,10,0,24,12.0390110015869
"37",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,119,6,0,0,0,0,0,0,0,6,0,22,13.0857856273651
"38",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,138,2,0,0,0,0,0,0,0,2,0,13,14.4788975715637
"39",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,137,2,0,0,0,0,0,0,0,2,0,11,14.2859580516815
"40",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,139,2,0,0,0,0,0,0,0,2,0,14,15.1523575782776
"41",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,136,4,0,0,0,0,0,0,0,4,0,1,14.0963172912598
"42",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,138,4,0,0,0,0,0,0,0,4,0,7,13.996086359024
"43",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,132,16,0,0,0,0,0,0,0,16,0,5,15.0512666702271
"44",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,136,5,0,0,0,0,0,0,0,5,0,23,14.4399418830872
"45",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,130,8,0,0,0,0,0,0,0,8,0,4,15.9218790531158
"46",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,135,10,0,0,0,0,0,0,0,10,0,16,15.5229885578156
"47",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,126,5,0,0,0,0,0,0,0,5,0,19,16.299281835556
"48",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,138,6,0,0,0,0,0,0,0,6,0,6,20.3823716640472
"49",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,136,11,0,0,0,0,0,0,0,11,0,18,17.7355961799622
"50",0.4,4,0.0501694624545053,0.08,0.25,0.4,6.5,2.5,1000,0,2,2,135,3,0,0,0,0,0,0,0,3,0,17,17.6155910491943
"51",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,140,13,36,16,142,194,9,7,7,6,0,10,18.8354473114014
"52",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,126,19,37,9,126,172,1,8,8,11,1,22,17.404189825058
"53",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,130,9,40,1,120,181,16,5,5,4,0,20,19.2453389167786
"54",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,134,18,33,6,143,190,3,11,11,7,2,4,33.1771988868713
"55",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,130,9,38,8,142,201,14,7,7,2,0,1,24.3366460800171
"56",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,134,17,27,3,141,188,9,11,11,6,0,3,17.7892692089081
"57",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,136,21,31,7,145,201,11,14,14,7,0,23,14.0495409965515
"58",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,136,12,45,11,127,193,13,8,8,4,0,7,13.837277173996
"59",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,136,14,36,2,125,171,5,5,5,9,0,21,23.3182315826416
"60",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,145,12,34,7,138,193,13,8,8,4,0,8,21.6285545825958
"61",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,137,9,44,4,132,193,9,8,8,1,0,5,14.8769946098328
"62",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,120,21,30,10,137,182,3,12,12,9,0,2,13.5211219787598
"63",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,146,20,34,12,135,192,12,11,11,9,0,15,13.3587827682495
"64",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,137,16,25,9,146,182,6,5,5,11,0,6,14.1259968280792
"65",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,127,21,38,7,125,180,8,9,9,12,1,24,14.7022316455841
"66",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,136,25,42,5,141,203,7,13,13,12,0,11,13.3190643787384
"67",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,135,24,39,7,132,199,13,15,15,9,0,9,13.75346326828
"68",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,127,29,22,5,129,168,4,13,13,16,1,16,14.4515104293823
"69",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,141,16,28,5,124,176,15,9,9,7,1,14,15.6479239463806
"70",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,137,13,38,3,131,187,9,9,9,4,0,18,15.0782642364502
"71",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,127,13,32,5,120,165,6,7,7,6,0,17,15.6260325908661
"72",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,144,9,24,5,137,184,16,7,7,2,1,25,13.9838795661926
"73",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,125,25,25,8,111,154,7,11,11,14,1,12,15.3331120014191
"74",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,142,18,28,3,116,157,7,6,6,12,0,19,12.933812379837
"75",0.4,4,2.48266350559425,0.08,0.25,0.4,6.5,2.5,1000,0,2,3,146,15,26,3,125,175,18,6,6,9,1,13,15.5097556114197
"76",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,125,19,91,7,329,454,21,13,13,6,0,3,14.1436467170715
"77",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,133,20,97,14,306,443,21,19,19,1,1,5,14.1211984157562
"78",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,129,23,100,23,325,465,23,17,17,6,3,4,15.7161026000977
"79",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,129,29,98,11,323,455,15,19,19,10,1,12,14.4892420768738
"80",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,122,18,140,11,295,476,24,17,17,1,0,24,15.1432387828827
"81",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,134,20,81,17,309,425,20,15,15,5,3,20,17.085066318512
"82",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,129,25,92,19,314,435,10,19,19,6,1,6,16.8236093521118
"83",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,122,33,114,27,298,447,14,21,21,12,2,18,15.8983089923859
"84",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,132,11,113,12,345,493,25,10,10,1,0,16,18.1096794605255
"85",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,129,32,78,14,296,409,17,18,18,14,0,14,18.5607597827911
"86",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,124,21,82,13,330,447,22,13,13,8,0,25,18.1466326713562
"87",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,140,32,89,15,298,417,12,18,18,14,3,23,11.7074301242828
"88",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,131,26,83,15,322,434,10,19,19,7,0,10,13.3993520736694
"89",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,134,32,99,19,306,440,13,22,22,10,0,2,14.164724111557
"90",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,137,18,87,10,342,459,16,14,14,4,0,19,15.5245208740234
"91",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,132,15,111,18,339,487,24,13,13,2,1,17,14.9192488193512
"92",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,128,35,114,16,353,500,11,22,22,13,1,15,13.0880572795868
"93",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,133,12,94,13,345,479,30,10,10,2,0,22,14.1353023052216
"94",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,133,20,93,14,350,476,18,15,15,5,0,13,15.3209345340729
"95",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,150,36,79,18,302,417,17,19,19,17,1,1,15.9699506759644
"96",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,138,15,74,17,353,474,34,13,13,2,0,9,15.281307220459
"97",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,135,19,90,12,346,464,13,15,15,4,1,21,15.2987523078918
"98",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,138,21,105,15,340,470,8,17,17,4,0,7,15.480288028717
"99",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,132,20,119,10,331,500,33,17,17,3,1,11,16.2445793151855
"100",0.4,4,5.77714792604093,0.08,0.25,0.4,6.5,2.5,1000,0,2,4,149,33,71,18,328,429,10,20,20,13,3,8,17.1964149475098
"101",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,130,34,181,22,482,711,20,28,28,6,2,7,18.6955239772797
"102",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,127,27,145,20,503,682,17,17,17,10,2,3,17.2617704868317
"103",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,135,20,145,23,505,707,41,16,16,4,0,2,17.072069644928
"104",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,132,36,134,21,473,649,18,24,24,12,2,18,19.8730375766754
"105",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,135,25,124,21,429,606,33,20,20,5,0,6,17.9003241062164
"106",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,137,28,131,23,520,679,6,22,22,6,1,8,19.1785583496094
"107",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,133,20,171,26,576,775,13,15,15,5,2,19,32.4988176822662
"108",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,134,41,102,26,495,658,33,28,28,13,1,4,24.8620638847351
"109",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,136,20,108,25,547,721,50,16,16,4,1,1,19.657210111618
"110",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,131,19,169,31,445,654,21,19,19,0,0,22,16.3874180316925
"111",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,136,23,190,31,515,746,21,20,20,3,1,5,14.276665687561
"112",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,123,20,140,13,523,699,25,11,11,9,0,11,25.1954901218414
"113",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,130,19,143,21,575,784,50,16,16,3,1,9,18.9637084007263
"114",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,146,21,137,24,535,757,67,18,18,3,0,16,15.5946478843689
"115",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,135,30,141,12,488,701,48,24,24,6,0,14,13.5235879421234
"116",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,121,32,104,25,569,715,19,23,23,9,0,25,12.522068977356
"117",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,118,23,153,17,551,759,34,21,21,2,0,12,13.646163225174
"118",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,130,34,138,14,490,672,17,27,27,7,3,10,13.4148120880127
"119",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,129,31,158,21,479,673,12,24,24,7,0,21,13.5084736347198
"120",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,143,39,140,19,542,730,21,27,27,12,0,20,13.3103420734406
"121",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,140,27,164,24,520,720,17,19,19,8,2,17,14.7879316806793
"122",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,135,31,98,18,487,661,54,22,22,9,1,24,15.4166080951691
"123",0.4,4,8.58189160632901,0.08,0.25,0.4,6.5,2.5,1000,0,2,5,125,31,143,27,512,690,11,24,24,7,3,15,14.6903343200684
