"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","param_set_id","copingNum","adaptNum","insufBoost","windowMissed","windowoOpen","noSolution","riskPerceptionThreshold","run_id","run_duration"
"1",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.390271416648649,1,1.43543220758438
"2",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.369434159408878,1,1.43543220758438
"3",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.320713625813787,1,1.43543220758438
"4",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.665176872660164,1,1.43543220758438
"5",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.455893278847445,1,1.43543220758438
"6",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.612468020880961,1,1.43543220758438
"7",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.545133512967755,1,1.43543220758438
"8",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.477839671571563,1,1.43543220758438
"9",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.505219653525286,1,1.43543220758438
"10",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.526138984431051,1,1.43543220758438
"11",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.449076141044782,1,1.43543220758438
"12",0.4,3.4137208861066,4,0.08,0.25,0.4,6.5,3,840,1,131,27,46,182,250,85,0.353848700800473,1,1.43543220758438
