,agencyid,logcapZscore,region,totalDiasaster,FTARegion,Success Rate,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
159,5036,0.13878538599999998,midwest,4,FTA Region5,0.72,0.107,0.035,5.279754454,5.4098254379999995,5.333662587
160,9208,-0.93098225,west,4,FTA Region9,0.7,0.08,0.025,4.814782453,4.940857616000001,4.841195637
161,5146,-0.28142453,midwest,4,FTA Region5,0.69,0.107,0.035,5.292710738,5.425892617000001,5.347474334
162,9012,-0.089931088,west,4,FTA Region9,0.7,0.08,0.025,4.815828004,4.951374476,4.8680360480000004
163,9045,1.133009717,west,4,FTA Region9,0.53,0.08,0.025,4.8342145180000005,4.967519607,4.836426846
164,3013,-0.43993958899999996,northeast,4,FTA Region3,0.79,0.12,0.045,5.7670605429999995,5.896170067000001,5.867880586
165,5047,-0.864766521,midwest,4,FTA Region5,0.69,0.107,0.035,5.274784166,5.406952394,5.328054713
166,0025,-0.014752278,west,4,FTA Region10,0.88,0.08,0.025,4.808793971,4.935715076,4.84726362
167,9182,-0.437858952,west,4,FTA Region9,0.7,0.08,0.025,4.8237730580000004,4.967986122,4.880924685
168,9172,0.046451654,west,4,FTA Region9,0.74,0.08,0.025,4.819174213999999,4.954770478,4.841574418
169,5033,0.139829371,midwest,4,FTA Region5,0.72,0.107,0.035,5.2742247319999995,5.404704174,5.3631716780000005
170,9035,-0.453111128,west,4,FTA Region9,0.7,0.08,0.025,4.823375748,4.9529513960000005,4.867753775
171,0020,-0.058170139,west,4,FTA Region10,0.74,0.08,0.025,4.81394157,4.949246475,4.850922347
172,5141,-0.695513588,midwest,4,FTA Region5,0.72,0.107,0.035,5.2786947269999995,5.4229389029999995,5.352634865
173,9061,-1.16010371,west,4,FTA Region9,0.7,0.08,0.025,4.825091259,4.96139971,4.829212749
174,9164,-0.908384867,west,4,FTA Region9,0.7,0.08,0.025,4.821929029,4.961868445,4.8568651030000005
175,5001,-0.955526874,midwest,3,FTA Region5,0.7,0.107,0.035,5.284176342,5.42258575,5.32393071
176,5032,-0.057776454000000005,midwest,3,FTA Region5,0.72,0.107,0.035,5.283041951,5.4138671910000005,5.366401726
177,6019,0.170543059,west,3,FTA Region6,0.67,0.08,0.025,4.826044832,4.95455347,4.858412746
178,5148,-0.792585456,midwest,3,FTA Region5,0.72,0.107,0.035,5.278197008,5.418236416,5.355033257
179,0006,-0.9729416009999999,west,3,FTA Region10,0.74,0.08,0.025,4.812737469,4.9396140630000005,4.837142125
180,9013,1.598735372,west,3,FTA Region9,0.7,0.08,0.025,4.81768399,4.940130081,4.841443194
181,6111,-0.020044221,west,3,FTA Region6,0.67,0.08,0.025,4.823156479,4.944221375,4.841351639
182,5040,-0.05657495,midwest,3,FTA Region5,0.72,0.107,0.035,5.27564755,5.408855072000001,5.327004287
183,5060,-0.052918127,midwest,3,FTA Region5,0.69,0.107,0.035,5.271388782,5.401381405,5.354381816
184,9091,-0.942368487,west,3,FTA Region9,0.7,0.08,0.025,4.818868609,4.956223354,4.843578114
185,5002,-1.032148647,midwest,2,FTA Region5,0.7,0.107,0.035,5.281919278999999,5.413269913,5.356080211
186,9027,0.21755545,west,2,FTA Region9,0.7,0.08,0.025,4.818797999,4.972522816000001,4.85148789
187,9033,0.504062491,west,2,FTA Region9,0.74,0.08,0.025,4.813560636,4.966783722,4.851360402
188,5035,-0.629973829,midwest,2,FTA Region5,0.72,0.107,0.035,5.274828846,5.412880336000001,5.338177309
189,8001,1.492470023,west,2,FTA Region8,0.38,0.08,0.025,4.8124551680000005,4.949541938,4.823907885
190,9015,2.062242298,west,1,FTA Region9,0.7,0.08,0.025,4.820390927,4.952500223,4.873805733999999
191,3083,0.654095484,south,0,FTA Region3,0.73,0.125,0.05,6.258125864,6.373065117,6.333121579
192,7006,1.373206216,midwest,0,FTA Region7,0.67,0.107,0.035,5.275956828,5.428378987,5.3181656660000005
193,3094,-1.481519086,south,0,FTA Region3,0.73,0.125,0.05,6.249183808,6.355375526,6.341628319
194,3073,0.447114536,south,0,FTA Region3,0.73,0.125,0.05,6.2546858610000005,6.366877858,6.322436272999999
195,3034,1.943459304,south,0,FTA Region3,0.68,0.125,0.05,6.26359687,6.370615897,6.3501561120000005
196,3045,-1.218390791,south,0,FTA Region3,0.73,0.125,0.05,6.26108301,6.3746689000000005,6.342580934
