,agencyid,logcapZscore,region,totalDiasaster,FTARegion,Success Rate,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
55,3085,-0.174815337,south,10,FTA Region3,0.68,0.125,0.065,6.364678187000001,6.490309223,6.462551474
56,3027,-0.510421352,northeast,10,FTA Region3,0.79,0.12,0.06,5.879998761,6.015011952,6.048228686
57,3072,-1.21925063,south,10,FTA Region3,0.68,0.125,0.065,6.365695752000001,6.4950222,6.455809337000001
58,4018,0.519718522,south,10,FTA Region4,0.72,0.125,0.065,6.368166992999999,6.475949664,6.466233921000001
59,6007,0.391958333,south,10,FTA Region6,0.63,0.125,0.065,6.361691335,6.485051599,6.477715741
60,1001,0.8069473840000001,northeast,10,FTA Region1,0.5,0.12,0.06,5.875178615,6.002101519,5.988864741
61,2084,-0.493913042,northeast,10,FTA Region2,0.59,0.12,0.06,5.879694485,6.015022677999999,6.00074642
62,0001,1.998703132,west,10,FTA Region10,0.74,0.08,0.045,4.971577539,5.080535301,5.02941161
63,4030,-0.249073905,south,10,FTA Region4,0.7,0.125,0.065,6.381257927999999,6.493439989,6.481963787000001
64,0023,-1.554091495,west,10,FTA Region10,0.74,0.08,0.045,4.965378274,5.0747694139999995,4.989649191
65,6056,1.995215555,south,9,FTA Region6,0.63,0.125,0.065,6.351119452000001,6.492852666,6.474717672000001
66,5058,-0.554425243,midwest,9,FTA Region5,0.69,0.107,0.05,5.4002518429999995,5.545800777,5.5359914770000005
67,5005,0.29538304,midwest,9,FTA Region5,0.7,0.107,0.05,5.393891084,5.552497105,5.4611948770000005
68,2098,1.615594973,northeast,9,FTA Region2,0.72,0.12,0.06,5.876166714,6.0181827939999994,6.0054820929999995
69,7048,-0.994417208,midwest,9,FTA Region7,0.62,0.107,0.05,5.403667111,5.547490705,5.544169961000001
70,4022,1.8478612490000002,south,9,FTA Region4,0.53,0.125,0.065,6.37393118,6.49498414,6.496024253
71,5044,-0.717246025,midwest,9,FTA Region5,0.76,0.107,0.05,5.392147799999999,5.528512397,5.462697223999999
72,3010,-0.036916005,northeast,9,FTA Region3,0.79,0.12,0.06,5.875728923,5.991018264,5.9617792960000004
73,4173,-1.107194732,south,9,FTA Region4,0.63,0.125,0.065,6.372289263,6.496074866,6.544687167999999
74,6009,-0.584169959,south,9,FTA Region6,0.63,0.125,0.065,6.3653872410000005,6.475565166,6.46261433
75,5004,-1.241111742,midwest,8,FTA Region5,0.7,0.107,0.05,5.4032234070000005,5.55571456,5.492310021000001
76,3091,-1.14562689,south,8,FTA Region3,0.73,0.125,0.065,6.372788976,6.496138832000001,6.474647248999999
77,6010,-0.7635618609999999,south,8,FTA Region6,0.63,0.125,0.065,6.371602762999999,6.489629726,6.460075787999999
78,7015,-0.615791988,midwest,8,FTA Region7,0.62,0.107,0.05,5.398018398,5.527141374,5.465085966
79,5006,-0.9187625229999999,midwest,8,FTA Region5,0.7,0.107,0.05,5.388020695,5.525037594,5.520632904
80,5015,1.31277334,midwest,8,FTA Region5,0.64,0.107,0.05,5.389696899,5.52573385,5.441965614
81,6101,-0.242251143,south,8,FTA Region6,0.63,0.125,0.065,6.3829202579999995,6.501807994,6.5379851460000005
82,3075,0.829258829,northeast,8,FTA Region3,0.82,0.12,0.06,5.871856361,6.005407912000001,6.004063523999999
83,0019,-0.015799129,west,8,FTA Region10,0.74,0.08,0.045,4.950683301000001,5.0532809489999995,5.027687298
84,5052,-0.813976478,midwest,8,FTA Region5,0.76,0.107,0.05,5.397272124,5.528541935,5.501336435
85,5008,1.001819897,midwest,8,FTA Region5,0.7,0.107,0.05,5.4030538329999995,5.548631368,5.515338347999999
86,5066,2.491506399,midwest,7,FTA Region5,0.69,0.107,0.05,5.4045877760000005,5.5509333320000005,5.463242773999999
87,5104,0.134790269,midwest,7,FTA Region5,0.76,0.107,0.05,5.41622529,5.546505926,5.483729159
88,2082,0.995412858,northeast,7,FTA Region2,0.59,0.12,0.06,5.872812872000001,5.996506796,5.967196389
89,5051,-0.774069584,midwest,7,FTA Region5,0.76,0.107,0.05,5.38649498,5.519886914,5.474771883
90,4078,-0.41449446799999995,south,7,FTA Region4,0.53,0.125,0.065,6.357131227000001,6.489111407,6.531980089
91,5010,0.105024861,midwest,7,FTA Region5,0.64,0.107,0.05,5.398533941,5.545725577000001,5.473807537000001
92,3012,-0.86993865,northeast,7,FTA Region3,0.79,0.12,0.06,5.869852597,5.999675532,5.97594316
93,4019,-0.330489479,south,7,FTA Region4,0.72,0.125,0.065,6.375146704,6.497352595,6.4623514989999995
94,5118,2.028222426,midwest,7,FTA Region5,0.69,0.107,0.05,5.373877042,5.521668987999999,5.468830727
95,9031,0.303482857,west,7,FTA Region9,0.7,0.08,0.045,4.949089192,5.04633279,4.959522338999999
96,9079,-0.250644816,west,7,FTA Region9,0.7,0.08,0.045,4.966314767,5.0776574960000005,4.993791788
97,4004,0.397581965,south,7,FTA Region4,0.8,0.125,0.065,6.373560213999999,6.490899451000001,6.489258629
98,5154,0.455750596,midwest,7,FTA Region5,0.78,0.107,0.05,5.383388465,5.522959491,5.517877675
99,0003,0.762394199,west,7,FTA Region10,0.74,0.08,0.045,4.944653597,5.048535646,5.0206648430000005
100,6012,-1.291726514,south,7,FTA Region6,0.63,0.125,0.065,6.37463556,6.493325342,6.463894892999999
