[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 10 , 0 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 0 , 1 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 0 , 0 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 0 , 3 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 10 , 1 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 10 , 4 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 20 , 2 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 20 , 0 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 20 , 2 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 20 , 1 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 20 , 5 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 10 , 20 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 0 , 1 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 20 , 0 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 0 , 1 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 10 , 29 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 10 , 10 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 0 , 11 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 20 , 4 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.8 , 10 , 1 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 20 , 13 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 0 , 0 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 10 , 6 ,]
[,numWindows,meanRiskThreshold, adaptedNum]
[, 0.4 , 0 , 1 ,]
