"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"randomBoost"
"02/18/2020 00:38:12:319 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","startingFund","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"29","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","35","5281.011572183997","50","260","823","952","12","25","25","10","5"
"30","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","50","4780.819201052008","32","239","760","871","1","41","41","9","10"
"32","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","60","5050.92154612001","64","246","727","883","1","51","51","9","15"
"31","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","47","4876.139378663997","68","230","757","907","5","33","33","14","10"
"33","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","56","4544.061131344006","71","249","698","865","2","37","37","19","12"
"34","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","51","4734.611471668002","33","235","793","903","2","44","44","7","5"
"35","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","44","5519.927571932004","56","258","844","983","7","37","37","7","7"
"38","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","57","5143.603025204006","22","245","847","951","1","50","50","7","8"
"36","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","37","6207.980418244009","33","279","933","1037","1","34","34","3","8"
"40","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","55","4977.708772032004","49","236","751","890","3","44","44","11","12"
"37","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","46","5319.148018955996","68","253","855","1011","2","40","40","6","10"
"39","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","43","5476.975601823996","73","255","846","1012","11","37","37","6","6"
"41","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","34","5636.557202488002","83","257","849","1009","0","32","32","2","9"
"42","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","46","5729.937775783995","37","250","863","987","5","44","44","2","10"
"43","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","48","4857.461141816004","74","231","770","922","2","32","32","16","5"
"44","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","51","5371.409473764005","34","248","840","959","3","46","46","5","7"
"45","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","35","6208.606067664002","66","264","908","1065","17","29","29","6","11"
"46","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","60","4782.389787868007","37","243","727","862","6","45","45","15","10"
"48","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","54","4542.537184571994","35","236","744","870","2","34","34","20","8"
"47","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","36","6004.460443172008","60","287","907","1042","8","29","29","7","6"
"56","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","56","4413.076139659998","32","221","688","820","1","44","44","12","8"
"50","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","49","4615.4438795239985","52","227","706","853","15","41","41","8","8"
"49","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","31","6333.759301432","78","294","917","1079","9","28","28","3","7"
"52","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","52","5395.234657036012","29","266","843","949","1","34","34","18","6"
"51","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","44","4836.415053216006","54","229","796","922","3","30","30","14","9"
"55","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","42","5374.494955344004","84","245","851","1026","4","33","33","9","8"
"54","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","49","5216.976227808011","52","231","801","940","6","42","42","7","7"
"53","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","40","5241.345551372006","71","243","805","961","15","30","30","10","7"
"57","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","41","5144.059644544","64","245","832","961","1","22","22","19","5"
"58","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","51","5312.97654194001","28","220","816","923","1","46","46","5","10"
"62","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","57","4570.309811160007","30","235","762","876","2","47","47","10","15"
"59","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","41","5395.487998444009","70","248","846","985","6","31","31","10","4"
"60","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","51","5119.426666392001","54","230","834","974","2","39","39","12","7"
"63","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","57","4917.607735164001","70","247","771","926","3","37","37","20","10"
"61","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","28","5783.609866740007","77","279","865","1030","15","27","27","1","5"
"65","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","36","5246.597735944011","92","259","799","979","15","30","30","6","0"
"67","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","45","5007.447136471998","68","265","799","947","1","36","36","9","9"
"64","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","53","4843.78636162001","23","226","733","837","8","40","40","13","5"
"66","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","56","5272.632539176002","35","202","794","919","3","51","51","5","10"
"68","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","57","4847.643171968005","35","224","741","871","1","50","50","7","12"
"69","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","48","5059.722056816007","56","243","818","952","2","34","34","14","5"
"70","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","46","5114.527956852012","35","231","757","869","1","41","41","5","5"
"71","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","49","4777.394720704002","85","253","785","949","3","30","30","19","4"
"73","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","45","4946.444977412002","69","240","824","971","0","31","31","14","4"
"72","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","55","5066.024236971997","49","257","763","892","2","41","41","14","6"
"74","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","48","5474.766402608006","31","250","896","1001","2","42","42","6","10"
"75","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","47","5237.655757764005","60","234","848","972","3","35","35","12","7"
"76","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","53","4719.429534532006","45","255","745","875","1","42","42","11","12"
"77","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","49","4848.864287247994","72","250","794","939","4","30","30","19","5"
"78","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","64","4607.6052622640045","44","195","717","849","2","51","51","13","10"
"80","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","43","5223.446230420008","51","245","826","956","2","38","38","5","7"
"81","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","35","6007.82778064001","101","296","850","1038","3","29","29","6","3"
"79","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","42","5040.196957416011","84","250","749","913","3","30","30","12","8"
"82","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","53","4891.523488140004","30","251","800","918","4","45","45","8","7"
"83","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","45","5364.103415744001","65","256","806","959","8","35","35","10","4"
"84","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","55","4628.552173268007","72","228","685","844","1","48","48","7","11"
"85","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","44","5430.083772679998","65","261","839","990","6","41","41","3","7"
"86","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","57","4972.950376595994","44","234","798","935","6","50","50","7","15"
"87","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","49","5349.085406228003","76","250","809","988","11","38","38","11","5"
"89","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","45","4783.300225624","71","231","757","913","4","40","40","5","10"
"88","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","49","4714.882491208006","63","214","761","891","0","31","31","18","4"
"90","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","54","4957.468963308006","33","238","803","925","1","45","45","9","7"
"91","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","41","5525.638485815998","87","245","837","1018","10","35","35","6","8"
"92","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","56","5065.571437400002","36","229","787","904","2","39","39","17","5"
"94","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","61","5403.4718415880025","27","243","801","934","2","55","55","6","5"
"93","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","31","6051.609403971991","103","267","915","1111","9","26","26","5","4"
"95","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","42","5451.078126931998","57","256","836","975","3","35","35","7","4"
"96","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","53","5031.00838562","38","210","770","896","1","48","48","5","5"
"97","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","34","5974.095949931994","63","270","862","1012","12","31","31","3","4"
"98","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","46","4731.997040112007","14","236","812","917","8","39","39","7","10"
"99","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","40","5298.421445768001","66","275","861","1002","4","34","34","6","9"
"101","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","40","5527.713865215993","92","274","842","1039","5","37","37","3","8"
"100","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","67","4469.702502708001","26","196","737","845","1","54","54","13","4"
"102","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","55","4816.792488072006","32","233","792","893","1","39","39","16","9"
"104","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","false","true","1000","48","4889.576265475998","49","220","758","883","1","36","36","12","9"
"103","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","37","5736.225736488008","80","277","847","1016","5","35","35","2","6"
"105","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","5500","0.3","0.03","true","false","true","true","true","true","false","true","true","1000","39","5620.714774564005","60","277","875","1021","10","28","28","11","6"
