"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"zeroTolerance"
"06/10/2020 21:52:03:465 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"12","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","130","10786.340657367971","10659","1747","0","403","7","1038","201","844","15","98","98","32","0","907","83"
"18","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","130","10552.844186576005","10659","1618","0","311","4","1041","173","819","10","89","89","41","0","805","79"
"24","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","144","11585.673329895979","10659","1806","0","290","12","1263","147","843","12","94","94","50","0","968","82"
"31","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","147","10856.680018359975","10659","1669","0","236","3","1242","93","804","16","95","95","52","0","871","79"
"29","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","132","10114.385144135986","10659","1633","0","345","10","1071","121","809","12","86","86","46","0","824","74"
"30","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","137","10540.111666927962","10659","1726","0","321","5","1153","159","819","5","88","88","49","0","909","83"
"33","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","144","10814.557391927994","10659","1711","0","274","2","1254","83","820","21","98","98","46","0","895","77"
"35","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","142","10999.019987095979","10659","1733","0","360","7","1101","175","803","8","90","90","52","0","933","82"
"32","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","132","11213.864167795975","10659","1705","0","313","5","1177","114","854","15","96","96","36","0","856","81"
"37","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","129","10914.934852051945","10659","1752","0","408","4","1069","179","810","16","92","92","37","0","944","76"
"36","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","134","10942.169790047985","10659","1701","0","297","4","1212","99","833","13","89","89","45","0","873","77"
"38","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","149","10763.037076075983","10659","1715","0","282","4","1261","71","797","10","97","97","52","0","920","87"
"34","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","131","10587.665661035973","10659","1704","0","329","12","1128","145","858","12","90","90","41","0","849","78"
"40","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","133","10959.962328259946","10659","1790","0","395","6","1166","136","814","16","87","87","46","0","977","71"
"41","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","137","10508.405841947955","10659","1675","0","336","4","1071","172","823","11","92","92","45","0","855","81"
"39","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","135","10788.479969091954","10659","1693","0","314","5","1160","128","793","13","86","86","49","0","907","73"
"43","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","150","10640.370244915972","10659","1683","0","257","5","1212","104","768","11","105","105","45","0","915","94"
"42","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","138","10792.17420453199","10659","1686","0","327","1","1073","188","832","14","97","97","41","0","860","83"
"47","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","139","10489.975350731977","10659","1672","0","360","0","1053","164","756","12","95","95","44","0","920","83"
"48","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","147","10457.194652135993","10659","1656","0","296","8","1119","136","800","14","97","97","50","0","861","83"
"46","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","147","10620.81349687999","10659","1702","0","336","5","1097","167","807","13","97","97","50","0","900","84"
"45","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","140","11172.17050543193","10659","1760","0","293","4","1209","162","824","7","92","92","48","0","943","85"
"51","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","136","11121.826773527993","10659","1745","0","329","2","1235","93","805","8","86","86","50","0","941","78"
"44","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","139","11063.507578911984","10659","1718","0","318","1","1126","173","832","9","100","100","39","0","887","91"
"52","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","149","10780.884438263996","10659","1687","0","254","3","1185","150","817","10","95","95","54","0","872","85"
"50","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","131","10690.625472127987","10659","1648","0","305","4","1137","118","789","7","84","84","47","0","860","77"
"49","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","142","10338.575994043964","10659","1628","0","293","8","1090","138","811","13","99","99","43","0","819","86"
"53","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","140","11258.97155796797","10659","1753","0","317","4","1226","111","872","17","95","95","45","0","884","78"
"54","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","135","10404.15914286797","10659","1678","0","382","8","1014","173","794","13","101","101","34","0","887","88"
"55","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","146","10394.043770151984","10659","1656","0","283","3","1131","143","798","10","96","96","50","0","859","86"
"56","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","139","10498.367744551988","10659","1652","0","297","3","1131","136","768","7","85","85","54","0","885","78"
"58","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","129","10265.050607624007","10659","1649","0","384","4","1039","135","771","13","87","87","42","0","881","74"
"60","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","134","11020.076820195989","10659","1708","0","348","7","1127","134","795","11","92","92","42","0","916","81"
"57","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","137","10726.374953263974","10659","1695","0","306","1","1192","108","855","17","88","88","49","0","841","71"
"61","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","129","10958.110896375989","10659","1712","0","392","2","1064","162","786","10","92","92","37","0","931","83"
"59","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","132","10686.19741921196","10659","1706","0","361","9","1089","156","792","14","91","91","41","0","920","77"
"62","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","131","10722.993987031983","10659","1683","0","364","3","1034","191","820","18","91","91","40","0","869","73"
"63","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","130","10477.83220146397","10659","1668","0","362","3","1070","140","765","17","93","93","37","0","909","76"
"65","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","142","11797.873932219924","10659","1762","0","302","1","1179","184","832","10","96","96","46","0","933","86"
"64","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","132","9981.073434031985","10659","1622","0","369","5","961","192","827","12","95","95","37","0","797","83"
"66","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","112","11424.924325447952","10659","1705","0","411","5","1066","152","806","6","71","71","41","0","904","66"
"69","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","134","10036.515699191978","10659","1587","0","317","8","1035","131","773","12","96","96","38","0","816","84"
"68","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","143","11087.078954227944","10659","1765","0","362","6","1119","168","824","17","110","110","33","0","943","93"
"73","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","144","10668.990914883972","10659","1688","0","309","5","1156","122","800","17","96","96","48","0","889","79"
"71","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","138","10443.036755327963","10659","1696","0","383","7","1014","188","765","15","104","104","34","0","938","89"
"70","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","136","10600.590752615994","10659","1674","0","339","5","1108","139","772","9","83","83","53","0","909","74"
"67","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","135","10562.23875920799","10659","1689","0","318","7","1109","160","827","12","95","95","40","0","863","83"
"75","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","140","10532.45547417596","10659","1678","0","328","4","1124","129","782","13","93","93","47","0","900","80"
"74","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","128","10953.187306059963","10659","1655","0","329","5","1049","181","786","15","91","91","37","0","871","76"
"72","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","133","10923.247450027995","10659","1728","0","372","7","1068","186","819","16","95","95","38","0","916","79"
"79","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","136","11026.895924939967","10659","1737","0","292","4","1215","132","829","7","94","94","42","0","910","87"
"77","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","127","10595.377648311995","10659","1639","0","339","1","1046","170","795","8","83","83","44","0","847","75"
"78","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","138","11280.086073127954","10659","1756","0","334","5","1164","164","835","15","89","89","49","0","924","74"
"76","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","136","10709.330829403976","10659","1686","0","355","8","1017","206","827","15","100","100","36","0","863","87"
"80","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","150","10901.814092611972","10659","1724","0","279","4","1251","96","837","15","94","94","56","0","888","79"
"82","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","138","10872.824182284001","10659","1685","0","297","4","1170","121","784","11","93","93","45","0","904","82"
"81","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","116","10843.763379875965","10659","1736","0","469","9","966","200","821","13","92","92","24","0","916","79"
"83","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","130","10953.970143299988","10659","1700","0","392","4","1009","202","808","13","93","93","37","0","897","80"
"84","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","130","10513.600405419957","10659","1681","0","360","4","1063","166","798","6","88","88","42","0","889","82"
"85","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","false","true","true","true","false","false","""allRandom""","1000","144","10238.16190318398","10659","1622","0","272","2","1156","112","765","9","80","80","64","0","861","71"
