"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChanceBase"
"06/10/2020 23:18:52:932 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"21","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","50","5655.7309294479965","5003.2690705520345","871","285","21","3","487","60","829","15","15","15","35","0","42","0"
"22","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","5492.755853964003","5166.244146036046","829","204","52","3","432","123","772","13","15","15","31","0","57","2"
"23","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","54","5952.71612870801","4706.28387129205","890","212","15","3","579","66","831","14","15","15","39","0","59","1"
"28","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5744.535785852002","4914.464214148016","872","265","34","5","466","92","808","9","10","10","35","0","64","1"
"29","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5712.292361115996","4946.7076388840205","872","239","37","3","460","117","821","14","16","16","29","0","51","2"
"30","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","56","5539.244414416006","5119.755585584041","851","185","19","5","556","69","796","16","17","17","39","0","56","1"
"27","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","5394.9409166599935","5264.059083340028","818","221","45","5","412","125","755","10","10","10","33","0","63","0"
"33","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","5879.097352728006","4779.902647272034","884","301","32","5","434","104","839","8","8","8","41","0","45","0"
"31","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","61","5989.506377940003","4669.493622060035","875","243","6","4","561","42","835","17","19","19","42","0","40","2"
"32","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","39","5301.648448656002","5357.351551344029","826","376","19","4","341","82","781","3","4","4","35","0","45","1"
"34","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","51","5384.27234671201","5274.727653288008","816","259","22","1","440","79","764","12","15","15","36","0","52","3"
"35","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","5765.867855391996","4893.13214460802","865","284","32","4","441","93","817","10","11","11","33","0","48","1"
"36","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","50","5799.779142956","4859.220857044045","877","208","35","2","514","106","817","11","12","12","38","0","61","1"
"37","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","36","5591.654388508004","5067.345611492055","843","342","29","2","373","85","786","11","12","12","24","0","57","1"
"38","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5621.8010325879995","5037.1989674120605","848","327","14","2","422","67","806","16","16","16","29","0","44","2"
"40","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","5688.865489896005","4970.134510104033","850","286","35","2","424","90","811","13","13","13","25","0","39","0"
"43","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","4981.556701060003","5677.4432989400475","757","208","33","2","408","95","710","8","11","11","30","0","47","3"
"41","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","54","5937.99218226801","4721.007817732019","904","199","32","5","544","111","865","13","13","13","41","0","39","0"
"39","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","5702.646314091997","4956.3536859080305","866","331","31","4","373","115","807","10","12","12","31","0","59","2"
"42","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","5964.757830439999","4694.242169560024","890","375","39","6","368","96","831","6","6","6","34","0","59","0"
"44","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","34","5547.099616084005","5111.90038391603","834","298","37","5","362","118","774","14","14","14","20","0","60","0"
"45","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","5556.082748648","5102.917251352034","858","258","10","1","528","52","801","7","9","9","40","0","58","2"
"48","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","5611.0223643360005","5047.9776356640305","848","305","18","6","407","98","798","14","14","14","32","0","50","0"
"52","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","5497.877219500008","5161.122780500026","849","355","26","3","354","100","809","8","11","11","30","0","40","3"
"53","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","5768.219270156003","4890.780729844022","872","299","24","2","476","59","819","10","12","12","35","0","55","2"
"49","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","5522.597547480002","5136.402452520022","821","317","18","5","404","69","767","7","8","8","38","0","54","1"
"47","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","5554.7560900479975","5104.243909952046","852","271","43","1","403","124","800","9","10","10","30","0","52","1"
"50","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","37","5602.326511219986","5056.67348878005","848","308","48","6","344","131","802","10","11","11","26","0","46","1"
"51","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","5934.624905499992","4724.375094500041","875","308","57","6","360","128","828","15","16","16","25","0","49","1"
"46","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5623.801444844001","5035.198555156025","870","273","22","2","486","78","821","9","9","9","36","0","49","0"
"54","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","5446.625244448","5212.374755552028","849","253","32","2","454","91","804","17","17","17","32","0","46","0"
"55","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","52","5777.793138280005","4881.206861720015","870","254","28","8","475","91","821","11","14","14","38","0","49","3"
"56","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","53","5841.586350980006","4817.413649020025","868","259","17","5","517","60","808","8","10","10","43","0","61","2"
"57","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","5351.135225923997","5307.864774076025","815","239","19","1","478","63","759","14","15","15","26","0","56","1"
"59","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","50","5626.782201932","5032.217798068009","844","225","21","2","511","74","783","10","11","11","39","0","61","1"
"58","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","52","5362.387207563995","5296.612792436042","829","325","20","6","393","77","786","6","8","8","44","0","43","2"
"60","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5642.512544575999","5016.4874554240305","849","279","18","7","453","76","793","16","16","16","29","0","56","0"
"61","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","5762.213810691997","4896.786189308037","842","346","19","6","383","78","795","10","10","10","37","0","47","0"
"62","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","5120.168478247994","5538.831521752035","798","203","48","5","415","113","750","13","14","14","30","0","48","1"
"63","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","5720.679723032003","4938.320276968032","875","330","31","5","432","68","819","8","9","9","33","0","56","1"
"64","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","37","5773.082436751999","4885.917563248039","861","314","37","4","374","124","804","8","8","8","29","0","57","0"
"66","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","5833.350561388001","4825.649438612025","878","284","32","2","432","121","822","6","7","7","37","0","56","1"
"67","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","5552.9661086759925","5106.03389132404","825","203","34","2","471","104","783","9","11","11","38","0","42","2"
"65","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","5673.525891460005","4985.4741085400365","857","266","36","4","420","119","810","12","12","12","29","0","47","0"
"68","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","5869.264779447999","4789.735220552054","903","367","33","3","402","87","845","11","11","11","29","0","59","0"
"70","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5650.543464108004","5008.456535892038","860","313","18","3","440","74","818","12","12","12","33","0","42","0"
"69","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","5451.9673534520025","5207.032646548028","802","305","34","4","377","75","751","7","7","7","36","0","51","0"
"71","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","36","5518.315285828007","5140.684714172025","816","322","45","3","336","101","757","8","9","9","27","0","59","1"
"72","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","5871.476264979992","4787.523735020033","872","309","12","5","483","49","812","12","14","14","32","0","60","2"
"77","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","5587.422046379996","5071.577953620028","831","289","42","6","371","115","790","8","8","8","33","0","41","0"
"73","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","48","5702.730409856004","4956.269590144054","880","238","18","6","544","66","839","6","8","8","40","0","41","2"
"79","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","51","5745.751129020002","4913.248870980022","868","312","6","0","494","41","823","14","15","15","36","0","45","1"
"74","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","35","5531.189140239996","5127.810859760028","816","300","50","5","335","116","768","9","10","10","25","0","49","1"
"75","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","5831.051661184007","4827.948338816022","870","246","14","7","510","78","826","15","15","15","31","0","45","0"
"80","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","5672.155260320007","4986.844739680042","847","320","32","4","403","71","784","16","17","17","21","0","63","1"
"76","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","6161.94125450001","4497.0587455000195","900","268","46","5","473","98","841","10","10","10","30","0","59","0"
"78","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","32","5648.9462126560065","5010.053787344032","847","365","35","5","327","104","798","10","11","11","21","0","49","1"
"81","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","5448.835307667999","5210.164692332041","823","302","23","5","385","98","778","8","10","10","30","0","45","2"
"83","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","58","5545.751735808005","5113.248264192039","876","293","22","1","487","61","816","10","12","12","46","0","61","2"
"86","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5262.627891088001","5396.372108912037","813","220","40","2","417","116","768","18","18","18","27","0","45","0"
"84","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","5671.675411184005","4987.3245888160045","859","354","29","5","348","114","803","7","9","9","32","0","56","2"
"82","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","53","5793.981659943995","4865.018340056033","865","347","0","6","467","23","806","19","22","22","31","0","59","3"
"85","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","5574.1442122160015","5084.855787784031","854","370","10","4","396","64","806","9","10","10","31","0","48","1"
"87","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","5528.471924451997","5130.528075548032","852","220","31","4","479","108","807","8","10","10","39","0","46","2"
"89","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","5854.087045123999","4804.912954876036","879","235","58","7","443","121","825","14","15","15","23","0","55","1"
"88","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","5601.53217138","5057.46782862004","857","310","32","1","417","86","809","10","11","11","32","0","48","1"
"90","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","5762.785648547996","4896.214351452031","865","255","38","7","434","118","822","12","13","13","30","0","43","1"
"91","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","5896.552640835998","4762.447359164038","881","304","42","10","410","99","830","16","16","16","26","0","51","0"
"92","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","5519.460826211996","5139.539173788027","838","263","26","1","465","72","785","10","11","11","35","0","53","1"
"93","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","5761.347510339997","4897.652489660025","857","295","46","8","395","105","807","7","8","8","32","0","50","1"
"94","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","5573.312175587998","5085.6878244120235","841","275","39","5","383","128","802","10","11","11","27","0","39","1"
"95","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","5556.180290828002","5102.819709172034","832","316","13","2","432","61","784","6","8","8","35","0","48","2"
"96","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5630.3738387119965","5028.626161288013","829","297","11","4","458","46","779","13","13","13","32","0","50","0"
"98","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","5919.5969481159955","4739.403051884028","913","314","30","4","457","99","865","7","9","9","37","0","48","2"
"99","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","5491.006566827998","5167.993433172024","841","327","25","3","406","67","802","13","13","13","29","0","39","0"
"97","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","5670.490446300003","4988.509553700037","868","277","58","3","363","155","824","9","12","12","33","0","44","3"
"100","0.52","4","10","0.3","4","4","1000","1","3.0E-4","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","6130.415083219991","4528.584916780016","907","293","28","2","497","76","847","10","11","11","33","0","60","1"
