"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayAndWindow1"
"03/15/2020 01:24:47:411 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","orgWindowGen","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"3","0.4","4","0.08","4","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.012","true","false","true","true","true","true","false","true","""allRandom""","1000","102","3773.966780152003","96","343","122","630","7","49","49","53","16","288"
"2","0.4","4","0.08","2","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.012","true","false","true","true","true","true","false","true","""allRandom""","1000","103","2787.424965464002","51","352","55","446","1","36","36","67","20","94"
"29","0.4","4","0.08","8","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.024","true","false","true","true","true","true","false","true","""allRandom""","1000","58","6565.797380336001","75","367","567","1059","2","33","33","25","11","694"
"30","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.024","true","false","true","true","true","true","false","true","""allRandom""","1000","73","7119.576550824015","70","363","613","1180","6","32","32","41","9","819"
"33","0.4","4","0.08","4","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.027","true","false","true","true","true","true","false","true","""allRandom""","1000","50","4020.1083546400046","46","362","362","655","1","22","22","28","7","294"
"31","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.027","true","false","true","true","true","true","false","true","""allRandom""","1000","34","2072.2768602960005","14","333","199","333","9","8","8","26","8","0"
"32","0.4","4","0.08","2","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.027","true","false","true","true","true","true","false","true","""allRandom""","1000","39","2684.918359616","26","348","266","447","1","14","14","25","12","99"
"34","0.4","4","0.08","6","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.027","true","false","true","true","true","true","false","true","""allRandom""","1000","59","5112.036853408007","51","366","521","879","1","36","36","23","12","513"
"35","0.4","4","0.08","8","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.027","true","false","true","true","true","true","false","true","""allRandom""","1000","46","6432.658103592011","53","354","709","1060","3","21","21","25","2","707"
"36","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.027","true","false","true","true","true","true","false","true","""allRandom""","1000","48","7405.388527176001","54","343","764","1146","3","26","26","22","6","804"
"37","0.4","4","0.08","0","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","""allRandom""","1000","28","2311.5587087759995","9","354","234","354","6","7","7","21","7","0"
