"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"02/05/2020 20:49:56:108 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"39","0.6","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","51","119","281","41","374","4","34","34","17","15"
"31","0.6","4","0.08","14","0.25","0.4","6.5","2","1000","1","48","0.5","0","0","true","true","true","true","1001","65","665","306","53","1100","38","56","56","9","0"
"46","0.4","4","0.08","6","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","63","374","254","13","633","20","53","53","10","1"
"49","0.2","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","44","574","283","8","813","13","31","31","13","7"
"40","0.8","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","31","54","295","204","377","1","22","22","9","12"
"41","0.2","4","0.08","4","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","70","244","253","9","491","10","57","57","13","15"
"48","0.8","4","0.08","6","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","31","256","287","258","702","15","27","27","4","5"
"42","0.4","4","0.08","4","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","68","257","271","10","514","25","47","47","21","15"
"37","0.2","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","40","147","331","3","405","15","25","25","15","15"
"52","0.8","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","29","321","300","384","907","38","27","27","2","0"
"38","0.4","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","34","163","312","4","411","18","28","28","6","14"
"50","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","75","459","250","15","712","11","56","56","19","6"
"43","0.6","4","0.08","4","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","35","242","276","67","547","42","31","31","4","7"
"47","0.6","4","0.08","6","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","61","290","277","130","644","18","48","48","13","9"
"51","0.6","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","85","356","272","149","736","3","66","66","19","13"
"56","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","37","402","266","459","1017","24","32","32","5","2"
"53","0.2","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","84","551","253","15","806","8","69","69","15","16"
"54","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","73","584","248","17","824","10","56","56","17","8"
"55","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","58","454","214","235","874","13","44","44","14","5"
"57","0.2","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","73","824","258","24","1096","8","60","60","13","7"
"59","0.6","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","71","622","228","185","1009","4","58","58","13","8"
"63","0.6","4","0.08","14","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","59","855","263","255","1325","9","50","50","9","5"
"58","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","86","627","239","29","904","4","68","68","18","9"
"65","0.2","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","29","176","342","0","342","17","24","24","5","24"
"60","0.8","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","36","369","288","696","1233","44","34","34","2","4"
"64","0.8","4","0.08","14","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","31","336","298","1017","1519","56","21","21","10","2"
"66","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","64","124","277","4","277","5","35","35","29","35"
"62","0.4","4","0.08","14","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","98","679","209","52","959","2","76","76","22","3"
"67","0.6","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","59","114","282","39","282","3","36","36","23","36"
"61","0.2","4","0.08","14","0.25","0.4","6.5","2","1000","1","48","0.5","0.3","0","true","true","true","true","1001","91","780","219","21","1035","3","72","72","19","7"
"70","0.4","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","37","223","287","5","371","9","31","31","6","18"
"68","0.8","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","24","106","339","123","339","8","19","19","5","19"
"71","0.6","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","44","168","311","96","403","14","37","37","7","22"
"69","0.2","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","57","159","235","1","312","20","40","40","17","24"
"75","0.6","4","0.08","4","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","54","303","268","60","504","5","43","43","11","14"
"72","0.8","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","22","131","323","195","416","13","17","17","5","16"
"73","0.2","4","0.08","4","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","75","362","302","0","550","15","64","64","11","24"
"76","0.8","4","0.08","4","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","49","146","263","261","491","5","34","34","15","15"
"74","0.4","4","0.08","4","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","73","290","226","14","444","3","48","48","25","14"
"80","0.8","4","0.08","6","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","47","229","279","346","694","13","37","37","10","16"
"81","0.2","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","80","542","227","15","729","6","64","64","16","17"
"78","0.4","4","0.08","6","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","73","459","272","13","648","9","61","61","12","19"
"77","0.2","4","0.08","6","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","69","479","277","2","663","11","55","55","14","12"
"79","0.6","4","0.08","6","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","42","401","255","129","668","19","37","37","5","14"
"83","0.6","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.6","0","true","true","true","true","1001","48","517","283","162","831","11","37","37","11","10"
