"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numOpts"
"06/11/2020 23:13:22:164 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalAlreadyAdapted","totalOrgOpts","totalUtilizedOrgOpt","totalNonEligibleDisasterOpt"
"3","0.3","4","4","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","44","7074.42931281201","10652","1098","128","2","807","14","23","23","21","0","463","293","9","240"
"12","0.3","4","0","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","31","5053.186088564001","10652","784","132","7","784","12","12","12","19","0","289","0","0","288"
"14","0.3","4","4","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","48","7144.0266236080015","10652","1103","144","8","795","11","19","19","29","0","448","308","8","232"
"6","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","49","10634.710162771977","10652","1685","196","7","789","9","22","22","27","0","600","901","13","195"
"20","0.3","4","16","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","52","14447.254055051968","10652","2270","295","10","855","8","27","27","25","0","817","1423","19","212"
"16","0.3","4","8","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","45","10203.538722667965","10652","1579","172","9","862","9","20","20","25","0","549","723","11","262"
"2","0.3","4","2","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","44","5892.893878232","10652","897","107","5","799","9","11","11","33","0","426","98","2","248"
"28","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","41","10079.160948019991","10652","1608","272","21","787","10","22","22","19","0","476","830","12","266"
"27","0.3","4","8","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","39","9130.869575455996","10652","1456","225","9","839","6","14","14","25","0","440","619","8","293"
"10","0.3","4","18","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","53","15581.822015579915","10652","2468","343","22","851","13","35","35","18","0","794","1628","22","252"
"25","0.3","4","4","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","34","7266.685772296003","10652","1098","178","19","807","10","16","16","18","0","338","293","6","272"
"15","0.3","4","6","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","50","8333.626796691995","10652","1299","145","8","819","10","19","19","31","0","542","482","9","217"
"18","0.3","4","12","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","45","11435.596646263964","10652","1877","266","30","802","15","29","29","16","0","548","1079","14","276"
"22","0.3","4","20","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","42","16513.92466879995","10652","2589","476","23","783","7","28","28","14","0","658","1815","21","275"
"7","0.3","4","12","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","48","12389.324457443965","10652","1897","252","16","772","7","26","26","22","0","590","1128","19","247"
"21","0.3","4","18","0.3","5","4","1000","1","48","0.3","0.03","10652","true","true","true","true","true","true","false","false","""allRandom""","1000","50","16008.00808726392","10652","2590","346","8","864","5","27","27","23","0","843","1734","22","212"
