"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 20:47:51:781 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"18","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","true","false","true","true","true","false","true","false","1000","97","5299.972529292009","0.02747070799383522","300","134","6655","7052","0","84","84","13","3"
"23","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","true","false","true","true","true","false","true","false","1000","69","5299.999141836003","8.581639987070844E-4","78","192","1300","1467","1","57","57","12","4"
"13","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","true","false","true","true","true","false","true","false","1000","69","5299.965194476015","0.034805523996009224","183","213","2630","2912","4","65","65","4","1"
"1","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","true","false","true","true","true","false","true","false","1000","65","5299.970076419999","0.029923580004588057","137","213","1374","1629","5","60","60","5","7"
"15","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","true","false","true","true","true","false","true","false","1000","82","5299.94602252801","0.053977471992835646","479","184","4327","4904","2","69","69","13","1"
"12","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","true","false","true","true","true","false","true","false","1000","79","5299.929131283996","0.0708687159975625","77","193","1248","1429","2","68","68","11","6"
"10","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","9","true","false","true","true","true","false","true","false","1000","80","5299.956242360008","0.043757639991494734","811","184","11059","11963","4","70","70","10","1"
"5","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","4","true","false","true","true","true","false","true","false","1000","84","5299.966657091998","0.033342908000415505","289","153","5401","5783","1","76","76","8","0"
"28","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","5","true","false","true","true","true","false","true","false","1000","78","5299.972040428","0.027959571994553123","578","172","6474","7148","3","73","73","5","1"
"20","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","true","false","true","true","true","false","true","false","1000","80","5299.967692040002","0.032307959988959745","779","159","9679","10548","5","68","68","12","0"
"4","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","true","false","true","true","true","false","true","false","1000","77","5299.969984824003","0.030015175992437193","323","187","4763","5181","5","70","70","7","2"
"21","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","9","true","false","true","true","true","false","true","false","1000","71","5299.988208224005","0.011791775992960218","1269","203","11202","12591","21","67","67","4","0"
