"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/16/2020 12:58:05:716 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","startingFund","increaseChance","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","limitedFund?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"24","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","51","2170.6911673840077","0.08525874999611815","1074","240","6685","7858","2","40","40","11","1"
"13","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","37","582.5798201139995","917.4201798859987","175","264","1330","1579","5","31","31","6","6"
"14","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","41","599.4610007519998","900.5389992479963","207","258","1880","2180","4","36","36","5","3"
"16","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","32","1385.2208160580008","114.77918394199968","480","289","3044","3643","15","31","31","1","2"
"15","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","21","1016.4750478859966","483.52495211400236","388","305","2633","3095","4","17","17","4","0"
"22","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","41","1807.7243676000041","0.1336441379962443","798","264","6147","7044","6","35","35","6","1"
"20","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","38","1505.0609822880035","0.11186949600098384","651","262","5369","6119","8","35","35","3","2"
"19","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","32","1642.4452664500077","0.5650082280009316","705","301","4679","5500","29","28","28","4","1"
"23","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","47","1794.637261600004","0.3224715039992143","803","237","6487","7379","5","38","38","9","1"
"18","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","35","1864.7035431560041","0.004163384002412673","727","271","4046","4871","15","34","34","1","3"
