"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/11/2020 22:51:11:197 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"4","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","38","10884.111556667965","10659","1710","851","160","9","497","175","779","6","18","18","20","0","934","12"
"25","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","38","10408.718745787975","10659","1662","818","140","12","495","181","814","8","16","16","22","0","853","8"
"12","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","10940.632747519983","10659","1710","675","224","23","513","251","820","8","24","24","21","0","892","16"
"29","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","45","10961.327965775969","10659","1765","770","174","5","613","183","812","8","20","20","25","0","958","12"
"30","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","35","11425.568704375964","10659","1790","932","159","8","478","194","840","6","19","19","16","0","955","13"
"33","0.4","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","46","10756.471031539984","10659","1686","690","188","5","589","198","789","6","16","16","30","0","900","10"
"31","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","49","10815.255346808006","10659","1659","582","219","16","608","213","800","9","21","21","28","0","862","12"
"34","0.45","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","38","10816.505865131974","10659","1667","835","106","5","537","167","807","7","17","17","21","0","861","10"
"36","0.3","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","41","10413.976457383984","10659","1695","633","267","6","489","278","820","8","22","22","19","0","880","14"
"35","0.5","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","31","11272.472852955963","10659","1770","903","181","11","420","246","839","4","9","9","22","0","936","5"
"32","0.35","4","10","0.3","5","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","false","""allRandom""","1000","55","10918.964449267974","10659","1735","677","157","11","687","178","815","11","25","25","30","0","924","15"
