"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"02/16/2020 18:08:08:071 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","limitedFund?","random-riskThresh?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"29","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","23","3714.7932331560028","146","316","1083","1330","19","21","21","2","5"
"31","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","29","2221.174637308003","78","268","682","833","8","21","21","8","7"
"32","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","25","2685.8161617760006","46","321","787","910","6","19","19","6","6"
"33","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","30","3035.706193428007","98","289","892","1077","7","22","22","8","4"
"30","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","18","3753.273229426001","78","307","1166","1335","21","16","16","2","2"
"35","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","37","3373.2872907500014","138","286","992","1222","2","29","29","8","7"
"34","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","27","3156.973919158002","87","292","983","1138","8","23","23","4","3"
"36","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","19","3322.982890677999","56","303","1051","1189","23","11","11","8","2"
"39","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","40","2729.9861466780035","93","272","784","960","7","27","27","13","5"
"38","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","21","2740.1125782120025","67","333","807","958","5","20","20","1","5"
"42","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","27","3296.194548778001","73","272","1115","1253","4","23","23","4","4"
"40","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","28","2855.4081140359967","62","293","890","1012","5","21","21","7","12"
"44","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","20","2501.9012362460066","51","289","778","900","14","19","19","1","4"
"43","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","22","2703.120474846003","107","345","810","1000","12","20","20","2","5"
"45","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","22","3009.2684976479964","117","311","855","1047","8","17","17","5","3"
"37","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","17","2945.2171840999986","81","354","810","1015","62","12","12","5","4"
"41","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","20","3351.6061086380073","163","309","937","1203","20","20","20","0","2"
"46","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","23","2936.7151032060037","89","274","871","1057","13","17","17","6","6"
"49","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","25","2448.275086662002","113","308","713","915","5","22","22","3","9"
"47","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","27","3553.7578888959993","96","289","1057","1237","10","25","25","2","3"
"48","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","17","3491.083621244004","98","285","1094","1266","11","17","17","0","2"
"50","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","20","2666.9575869799987","64","298","810","958","18","14","14","6","4"
"51","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","29","2747.1458142680017","127","281","764","993","8","22","22","7","7"
"55","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","36","2279.927922381997","95","278","679","869","3","28","28","8","7"
"54","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","34","3209.311993587998","68","263","1033","1180","10","25","25","9","3"
"52","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","31","2645.2647409180017","53","284","862","977","6","17","17","14","1"
"53","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","33","3261.516667114003","104","311","1020","1221","5","31","31","2","8"
"56","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","16","2690.7901203480064","44","328","800","927","6","16","16","0","2"
"59","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","35","3121.492665535999","92","250","1032","1201","3","25","25","10","6"
"57","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","35","2808.6426790660066","92","304","868","1073","9","28","28","7","6"
"61","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","32","2388.539639478002","97","307","692","891","3","24","24","8","7"
"60","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","21","3827.5803787200016","70","313","1199","1332","10","18","18","3","3"
"58","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","17","3288.688721496006","75","331","969","1141","17","14","14","3","4"
"63","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","40","2593.0475792360053","93","243","747","914","0","30","30","10","6"
"62","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","32","2372.835619924002","35","272","784","883","9","19","19","13","6"
"65","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","41","3106.7585623459986","101","246","946","1129","6","30","30","11","2"
"67","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","28","2564.3431589799998","64","301","754","905","6","27","27","1","10"
