"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numOpts"
"06/07/2020 23:21:52:934 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","minNeighbor","memory","disasterUti","EWProbDecay","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalAlreadyAdapted","totalOrgOpts","totalUtilizedOrgOpt","totalNonEligibleDisasterOpt"
"26","0.62","4","25","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","37","21294.18620355598","38217","3317","123","5","1149","8","25","25","12","0","627","2182","17","100"
"32","0.62","4","0","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","7547.656577436002","38217","1119","40","4","1119","11","11","11","29","0","375","0","0","137"
"29","0.62","4","28","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","22269.302434187877","38217","3610","153","7","1083","5","32","32","20","0","974","2543","27","88"
"30","0.62","4","29","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","49","23718.64728289193","38217","3766","163","7","1100","3","27","27","22","0","932","2674","24","53"
"31","0.62","4","30","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","31","24589.45634498395","38217","3852","203","10","1071","3","22","22","9","0","652","2794","19","88"
"34","0.62","4","2","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","37","7949.49667571199","38217","1197","62","3","1092","12","14","14","23","0","373","106","2","129"
"33","0.62","4","1","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","7079.130448952001","38217","1099","38","3","1099","13","13","13","23","0","272","0","0","100"
"36","0.62","4","4","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","44","9206.192964952","38217","1399","40","4","1099","10","15","15","29","0","401","302","5","114"
"35","0.62","4","3","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","8463.718536332002","38217","1296","36","4","1102","9","16","16","20","0","302","194","7","91"
"40","0.62","4","8","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","37","11038.126424655966","38217","1702","65","6","1002","7","18","18","19","0","348","705","11","55"
"38","0.62","4","6","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","10260.832488655968","38217","1574","94","4","1050","10","19","19","22","0","290","525","9","119"
"37","0.62","4","5","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","45","9415.022322668","38217","1446","44","6","1060","6","14","14","31","0","301","386","8","108"
"39","0.62","4","7","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","10880.626956756001","38217","1705","102","7","1102","8","24","24","18","0","485","604","16","120"
"45","0.62","4","13","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","14564.77581177993","38217","2283","85","5","1126","5","25","25","27","0","576","1170","20","74"
"42","0.62","4","10","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","13025.485040911915","38217","2048","102","9","1142","9","16","16","23","0","462","911","7","92"
"41","0.62","4","9","0.3","4","4","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","12217.09482567196","38217","1904","145","8","1080","5","15","15","23","0","319","829","10","154"
