"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 14:58:12:843 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","startingFund","increaseChance","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","limitedFund?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"18","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","true","true","true","1000","51","0","0.008753944000012837","40","243","742","862","2","36","36","15","5"
"17","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","2.01","0.3","0.03","true","false","true","true","true","true","true","true","1000","43","0","0.0013049639981188577","35","247","807","917","0","31","31","12","7"
"8","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","45","0","9.821920005341767E-4","48","254","842","982","1","31","31","14","5"
"7","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","45","0","0.016563876000008637","78","249","759","934","5","38","38","7","4"
"22","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","true","true","true","1000","38","0","0.04405196399942568","71","261","800","937","3","28","28","10","5"
"2","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","42","0","0.020566824000089134","63","253","847","993","1","36","36","6","11"
"10","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","4.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","42","0","0.22158349599909455","78","262","845","1003","3","37","37","5","6"
"6","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","2.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","47","0","0.14730601600028503","57","248","748","887","1","42","42","5","8"
"15","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","true","true","true","1000","35","0","0.09338700800049304","76","225","803","947","4","25","25","10","3"
"19","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","3.01","0.3","0.03","true","false","true","true","true","true","true","true","1000","41","0","0.13484317200116624","56","268","776","911","1","27","27","14","11"
"3","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","49","0","0.1730660999994349","34","228","708","834","3","36","36","13","9"
"23","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","true","true","true","1000","35","0","0.05086690799928739","63","274","814","962","3","28","28","7","6"
"21","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","4.01","0.3","0.03","true","false","true","true","true","true","true","true","1000","42","0","0.027572511998613436","61","225","754","888","2","29","29","13","3"
"12","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","34","0","0.19487685199973104","67","250","910","1055","8","27","27","7","5"
"20","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","3.51","0.3","0.03","true","false","true","true","true","true","true","true","1000","48","0","0.14172908400032025","53","254","750","897","6","42","42","6","13"
"4","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","47","0","0.0535289760000035","91","234","739","907","2","31","31","16","4"
"13","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","true","true","true","1000","39","0","0.015730296000237676","69","242","804","952","7","32","32","7","4"
"9","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","4.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","40","0","0.01069763199986884","84","247","712","890","1","28","28","12","3"
"11","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","5.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","35","0","0.0429710159997061","85","233","875","1035","2","25","25","10","6"
"24","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","5.51","0.3","0.03","true","false","true","true","true","true","true","true","1000","28","0","0.1657321000012626","57","257","915","1051","7","23","23","5","3"
"16","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","1.51","0.3","0.03","true","false","true","true","true","true","true","true","1000","39","0","0.012817755998915104","72","280","808","961","1","32","32","7","7"
"14","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","true","true","true","1000","46","0","0.02065250000030394","48","227","773","879","2","30","30","16","4"
"1","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","41","0","0.06301466399967026","54","263","751","885","9","38","38","3","10"
"5","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","2.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","37","0","0.15704224399794509","48","267","778","897","1","28","28","9","10"
"26","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","false","1000","56","0","0.014957651999591093","190","236","2151","2426","7","46","46","10","2"
"25","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","62","0","0.02680890799992408","140","215","1417","1646","1","44","44","18","2"
"50","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","0.51","0.3","0.03","true","false","true","true","true","false","true","true","1000","39","0","0.06168982800019496","77","267","822","981","2","30","30","9","6"
"49","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","0.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","28","0","0.21938818799931648","72","275","845","1000","1","26","26","2","4"
"51","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","true","1000","51","0","0.06187162799860069","71","251","768","922","6","39","39","12","8"
"27","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","1500","1.01","0.3","0.03","true","false","true","true","true","false","true","false","1000","57","0","0.05263468799973037","342","217","2770","3204","2","54","54","3","4"
