"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numWindows"
"02/13/2020 22:47:09:631 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"22","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","false","false","true","true","1001","2","0","0","0","0","0","0","0","2","0"
"28","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","false","false","true","true","1001","5","0","0","0","0","0","0","0","5","0"
"23","0.4","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","false","false","true","true","1001","3","0","0","0","0","0","0","0","3","0"
"25","0.4","4","0.08","6","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","false","false","true","true","1001","7","0","0","0","0","0","0","0","7","0"
"26","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","false","false","true","true","1001","1","0","0","0","0","0","0","0","1","0"
"24","0.4","4","0.08","4","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","false","false","true","true","1001","0","0","0","0","0","0","0","0","0","0"
"6","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","36","1088","251","11795","12964","12","32","32","4","0"
"27","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","false","false","true","true","1001","4","0","0","0","0","0","0","0","4","0"
"9","0.4","4","0.08","16","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","51","1418","222","17578","19078","9","41","41","10","1"
"4","0.4","4","0.08","6","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","39","706","249","7045","7832","3","33","33","6","1"
"10","0.4","4","0.08","18","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","33","2200","235","21643","23924","11","29","29","4","0"
"5","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","29","1051","305","10054","11199","20","26","26","3","0"
"1","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","17","23","327","244","327","5","8","8","9","8"
"2","0.4","4","0.08","2","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","14","232","315","2940","3318","96","14","14","0","1"
"3","0.4","4","0.08","4","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","23","477","304","5417","6026","74","22","22","1","0"
"14","0.4","4","0.08","26","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","50","2403","213","28561","31065","23","40","40","10","0"
"7","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","26","1522","314","15220","16886","69","25","25","1","0"
"20","0.4","4","0.08","38","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","32","4036","298","46604","50720","17","30","30","2","0"
"16","0.4","4","0.08","30","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","54","2460","216","32210","34751","13","44","44","10","0"
"8","0.4","4","0.08","14","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","44","1429","227","15905","17425","14","36","36","8","0"
"19","0.4","4","0.08","36","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","47","3479","250","40002","43651","91","42","42","5","0"
"13","0.4","4","0.08","24","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1001","40","3050","249","27475","30634","36","34","34","6","0"
