"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"otherInf"
"02/20/2020 18:42:04:061 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","othersInf?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"29","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","128","2691.432432780002","384","192","33","676","17","116","116","12","11"
"30","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","139","1989.1396264399996","289","136","20","519","8","114","114","25","15"
"31","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","118","2879.2107566479986","371","204","31","660","8","107","107","11","12"
"33","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","140","2218.335484256003","295","134","37","546","8","116","116","24","16"
"32","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","121","2562.81848454001","331","189","22","602","4","107","107","14","6"
"34","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","123","2244.068452648","280","182","18","534","1","102","102","21","14"
"35","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","147","2008.8956972079998","249","152","31","515","2","131","131","16","23"
"36","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","129","2334.0648923720023","310","161","20","561","4","109","109","20","13"
"37","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","135","2395.7608016240065","299","154","25","547","3","115","115","20","18"
"38","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","127","2222.7451643280037","286","181","16","547","2","109","109","18","15"
"40","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","139","2239.850593700003","286","174","24","554","2","120","120","19","18"
"39","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","141","2124.1236501919993","288","150","28","540","1","121","121","20","19"
"42","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","121","2472.8083887840003","353","169","10","607","10","107","107","14","6"
"43","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","126","2311.2273543519973","339","160","35","582","1","101","101","25","11"
"41","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","108","2710.3893588359997","375","169","21","628","15","99","99","9","6"
"44","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","127","2608.7098170080035","303","179","35","596","17","118","118","9","19"
"45","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","134","2537.248626288001","366","200","26","649","1","112","112","22","18"
"46","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","129","2247.8985075800033","325","161","32","568","2","102","102","27","14"
"47","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","128","2360.4567920240006","319","165","28","571","3","114","114","14","17"
"49","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","138","2331.4342972200025","268","192","26","545","6","120","120","18","17"
"48","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","129","2352.1710266600053","323","196","16","581","2","106","106","23","20"
"50","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","138","2116.0417588760033","307","149","36","555","2","111","111","27","16"
"51","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","140","2436.359522908001","324","198","42","625","3","125","125","15","19"
"52","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","125","2407.3819895719994","338","164","37","593","1","107","107","18","13"
"53","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","131","2394.5349488000047","290","178","21","563","5","118","118","13","15"
"54","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","142","2132.087915808003","268","152","22","515","5","125","125","17","20"
"55","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","143","2191.3611700240003","317","183","19","571","4","117","117","26","17"
"56","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","true","false","true","true","true","true","false","true","true","999","129","2245.971303872","286","171","36","546","5","109","109","20","17"
