"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChanceBase"
"03/13/2020 00:42:01:962 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","randomChance","startingFund","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"23","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","39","2649.4706635720026","0","346","0","449","0","0","0","39","0","104"
"27","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","44","2566.6921133759984","0","342","0","423","0","0","0","44","0","81"
"26","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","45","2541.1186008999994","0","353","0","425","0","0","0","45","0","72"
"31","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","45","2540.662428652","0","336","0","424","0","0","0","45","0","88"
"32","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","42","3123.8386024120005","0","385","0","502","0","0","0","42","0","117"
"28","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","48","2743.351851791998","0","356","0","439","0","0","0","48","0","83"
"29","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","38","2992.415603696003","0","352","0","457","0","0","0","38","0","107"
"30","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","33","2443.510685156","0","331","0","431","0","0","0","33","0","100"
"34","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","41","2721.169865056004","0","343","0","434","0","0","0","41","0","91"
"33","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","5.0E-4","48","0.3","0.3","0.03","4.0E-4","7463","true","false","true","true","true","false","true","true","1000","47","2634.9347547160014","0","345","0","445","0","0","0","47","0","100"
