"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"enoughCap"
"06/10/2020 21:52:46:314 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"24","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","114","77124.55294374411","10659","1665","597","0","4","1064","0","768","0","0","0","114","0","905","0"
"25","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","129","73719.94486104806","10659","1590","517","0","2","1071","0","786","0","0","0","129","0","809","0"
"1","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","111","76018.53180590407","10659","1647","620","0","7","1020","0","797","0","0","0","111","0","855","0"
"29","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","118","79522.14925587614","10659","1715","661","0","2","1052","0","811","0","0","0","118","0","909","0"
"30","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","114","76864.89033113627","10659","1655","691","0","4","960","0","828","0","0","0","114","0","830","0"
"35","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","112","77949.1636462002","10659","1683","691","0","2","990","0","814","0","0","0","112","0","874","0"
"32","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","107","81784.61266019211","10659","1758","849","0","4","905","0","827","0","0","0","107","0","937","0"
"33","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","128","79241.54804617618","10659","1711","528","0","3","1180","0","824","0","0","0","128","0","891","0"
"31","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","106","76219.55359702818","10659","1642","669","0","7","966","0","828","0","0","0","106","0","818","0"
"34","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","108","81586.35190306822","10659","1756","729","0","5","1022","0","822","0","0","0","108","0","939","0"
"39","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","113","77687.25886551615","10659","1679","597","0","4","1078","0","825","0","0","0","113","0","860","0"
"38","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","112","78570.4341950442","10659","1697","676","0","8","1013","0","771","0","0","0","112","0","927","0"
"45","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","123","78355.1557646401","10659","1686","587","0","4","1095","0","822","0","0","0","123","0","868","0"
"42","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","116","78870.7450460681","10659","1700","685","0","3","1012","0","821","0","0","0","116","0","881","0"
"43","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","108","76408.32866899612","10659","1650","669","0","6","975","0","796","0","0","0","108","0","856","0"
"36","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","125","80162.22074119608","10659","1731","615","0","5","1111","0","798","0","0","0","125","0","937","0"
"37","0.52","4","10","0.3","4","4","1000","1","48","0.3","0.03","10659","true","true","true","true","true","true","false","true","""allRandom""","1000","116","74887.35987048408","10659","1616","596","0","2","1018","0","764","0","0","0","116","0","852","0"
