"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"01/17/2020 16:30:59:252 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","b1","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"36","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.03","1001","6","0","0","0","0","0","0","0","6","0"
"52","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"34","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.02","1001","4","0","0","0","0","0","0","0","4","0"
"53","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.02","1001","6","0","0","0","0","0","0","0","6","0"
"40","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","0.5","0.03","1001","8","0","0","0","0","0","0","0","8","0"
"47","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.01","1001","10","0","0","0","0","0","0","0","10","0"
"48","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.01","1001","19","0","0","0","0","0","0","0","19","0"
"45","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0","1001","17","0","0","0","0","0","0","0","17","0"
"46","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.01","1001","6","0","0","0","0","0","0","0","6","0"
"44","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0","1001","12","0","0","0","0","0","0","0","12","0"
"50","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.01","1001","4","0","0","0","0","0","0","0","4","0"
"54","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.02","1001","11","0","0","0","0","0","0","0","11","0"
"55","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"56","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.03","1001","9","0","0","0","0","0","0","0","9","0"
"57","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.03","1001","3","0","0","0","0","0","0","0","3","0"
"58","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"60","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.03","1001","9","0","0","0","0","0","0","0","9","0"
"59","0.5","4","0.08","0","0.25","0.4","6.5","1","1000","1","1","1","1","0.03","1001","3","0","0","0","0","0","0","0","3","0"
"61","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0","0","1001","17","0","0","0","0","0","0","0","17","0"
