"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"Baseline"
"02/05/2020 20:49:55:808 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"35","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","15","85","293","796","936","4","13","13","2","5"
"37","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","32","67","277","765","872","2","18","18","14","5"
"39","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","28","57","273","758","865","5","12","12","16","2"
"40","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","24","95","274","752","910","6","17","17","7","8"
"38","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","11","72","310","877","1001","13","9","9","2","2"
"41","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","14","88","321","844","992","7","13","13","1","2"
"42","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","21","102","316","801","958","5","12","12","9","4"
"43","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","23","82","288","783","917","4","13","13","10","5"
"47","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","24","100","262","739","906","4","16","16","8","7"
"44","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","8","75","305","844","979","27","8","8","0","3"
"45","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","26","84","351","764","912","2","18","18","8","5"
"46","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","20","69","279","757","883","15","14","14","6","9"
"48","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","18","72","290","792","904","0","9","9","9","4"
"49","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","27","85","297","739","888","7","17","17","10","6"
"50","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.5","0.5","0.03","true","false","true","true","1001","17","95","302","791","937","3","10","10","7","4"
