"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"lowerDecay"
"02/18/2020 15:15:33:046 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"29","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","1000","40","5700.477552720014","60","281","851","1005","11","32","32","8","8"
"30","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","true","false","true","1000","27","6113.835996592004","22","291","1055","1106","5","13","13","14","3"
"33","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","true","false","true","1000","74","4151.465284968001","137","207","465","762","6","68","68","6","18"
"32","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","true","false","true","1000","115","3032.052438496003","323","189","168","710","0","99","99","16","15"
"35","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","true","false","true","1000","15","6501.053299659997","18","325","1084","1140","11","9","9","6","1"
"36","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","1000","139","2278.1167443320005","294","150","25","543","1","124","124","15","11"
"34","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","1000","45","4761.720918051999","76","249","743","902","8","34","34","11","12"
"38","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","true","false","true","1000","82","4258.05095648401","166","226","428","777","4","72","72","10","14"
"37","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","true","false","true","1000","114","3036.491338496004","232","180","183","659","13","97","97","17","10"
"40","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","true","false","true","1000","16","5884.118235212005","28","285","1006","1059","2","7","7","9","2"
"41","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","1000","135","2339.0487960280025","312","147","49","582","3","120","120","15","16"
"39","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","1000","41","5530.611018475994","107","262","866","1059","5","32","32","9","5"
"42","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","true","false","true","1000","110","3193.8858990480035","325","173","164","690","5","92","92","18","13"
"43","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","true","false","true","1000","81","4458.851048656009","228","240","487","881","6","63","63","18","16"
"44","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","1000","35","5959.95300453599","49","256","945","1066","3","29","29","6","3"
"45","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","true","false","true","1000","23","5964.060712620014","17","286","946","994","4","13","13","10","3"
"46","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","1000","140","1981.596449144","254","141","29","491","1","113","113","27","18"
"47","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","true","false","true","1000","121","3083.0705442160106","262","196","173","670","8","102","102","19","13"
"48","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","true","false","true","1000","75","4618.51665599201","183","227","473","856","16","67","67","8","12"
"49","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","1000","35","5625.168259064001","90","272","807","1006","19","32","32","3","8"
"51","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","1000","138","2099.1015677160012","258","164","24","513","7","117","117","21","18"
"50","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","true","false","true","1000","15","6612.881680119999","21","352","1092","1141","0","7","7","8","1"
"53","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","true","false","true","1000","85","3732.093682300006","164","196","406","729","1","74","74","11","10"
"54","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","1000","43","5499.689495008003","76","292","836","1017","5","33","33","10","3"
"52","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","true","false","true","1000","115","3005.584039480005","228","164","172","612","4","101","101","14","9"
"56","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","1000","132","2250.5763197920032","300","172","28","562","6","109","109","23","15"
"55","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","true","false","true","1000","14","6920.122134460014","13","352","1114","1173","13","13","13","1","0"
"59","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","1000","40","6101.82341657201","87","281","891","1063","7","35","35","5","7"
"58","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","true","false","true","1000","79","3893.3819249280004","176","198","456","782","4","65","65","14","14"
"60","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","true","false","true","1000","20","6468.814767096001","26","288","1122","1174","3","9","9","11","2"
"61","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","1000","125","2565.683200744002","343","156","21","588","2","112","112","13","9"
"63","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.02","true","false","true","true","true","true","false","true","1000","84","3918.9685295720046","142","196","425","731","9","71","71","13","14"
"57","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","true","false","true","1000","102","3126.8552425760004","282","166","194","681","7","84","84","18","12"
"62","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","true","false","true","1000","112","2968.3099690600015","277","186","167","651","11","92","92","20","12"
"64","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","1000","46","5361.973938748008","67","268","878","1036","11","36","36","10","10"
"65","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.04","true","false","true","true","true","true","false","true","1000","28","5963.341643992019","17","316","1031","1076","2","15","15","13","5"
"66","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0","true","false","true","true","true","true","false","true","1000","140","2189.3858072839985","261","174","41","539","5","122","122","18","24"
"67","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.01","true","false","true","true","true","true","false","true","1000","111","2943.574591236005","321","184","144","675","7","93","93","18","13"
