"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"nonRandomWindow"
"02/20/2020 14:59:39:135 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","reduceWindows","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"22","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","64","5320.9056609120025","0.09433908799418855","111","218","1533","1729","1","48","48","16","6"
"31","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","53","4814.147603803998","506.85239619601145","37","250","739","867","0","44","44","9","4"
"28","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","69","5320.968951300003","0.031048700004084218","74","207","1520","1680","1","62","62","7","3"
"24","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","73","5320.978087728006","0.021912272002514666","58","180","1443","1580","6","57","57","16","2"
"30","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","64","5320.954414219998","0.045585779998611464","102","181","1518","1704","2","51","51","13","1"
"26","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","65","5320.940590236004","0.05940976399412978","97","217","1580","1779","3","58","58","7","5"
"35","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","49","5038.578402560003","282.42159743999974","45","215","775","912","10","41","41","8","9"
"33","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","59","4556.167408940003","764.8325910599908","40","218","712","848","4","48","48","11","7"
"32","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","64","5320.966999764007","0.033000235998895455","68","198","1530","1680","2","56","56","8","5"
"39","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","54","4583.192878704001","737.8071212959969","31","243","738","857","1","43","43","11","7"
"37","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","47","5319.050028576006","1.9499714239966028","43","237","812","938","2","42","42","5","14"
"41","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","51","5058.186709984007","262.81329001599386","40","256","819","955","4","40","40","11","9"
"38","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","61","5320.965322044001","0.03467795600390833","120","234","1573","1767","1","50","50","11","5"
"36","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","62","5320.952661675988","0.04733832398976112","114","192","1485","1699","4","56","56","6","4"
"34","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","70","5320.818276547999","0.18172345199988893","76","182","1419","1582","2","54","54","16","2"
"40","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","61","5320.947766107999","0.052233891993201276","133","229","1497","1711","2","51","51","10","1"
"43","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","45","5320.936847392003","0.0631526079896152","45","268","860","991","5","41","41","4","12"
"42","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","69","5320.931723908002","0.06827609199023854","105","243","1451","1671","3","63","63","6","4"
"47","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","61","4597.903690424","723.0963095759946","37","218","738","866","1","48","48","13","14"
"45","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","45","5320.993360784011","0.006639215999342696","48","240","837","976","3","40","40","5","3"
"49","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","50","5051.440851348004","269.55914865200106","19","221","772","865","3","41","41","9","9"
"51","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","48","4991.257589552002","329.74241044800056","46","278","820","973","6","42","42","6","12"
"46","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","64","5320.986664704017","0.013335295993705643","95","189","1545","1727","3","54","54","10","6"
"53","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","46","5320.966495388015","0.03350461199589816","35","250","868","985","7","37","37","9","7"
"55","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","56","4653.4046742880055","667.5953257119946","25","215","752","856","3","46","46","10","12"
"44","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","63","5320.950642936006","0.04935706399549167","100","201","1500","1691","1","51","51","12","4"
"52","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","57","5320.9628718000085","0.03712819999912709","90","196","1564","1730","3","49","49","8","3"
"48","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","59","5320.948567456007","0.05143254399933017","92","220","1681","1852","0","50","50","9","7"
"54","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","69","5320.967530771997","0.03246922800555563","72","231","1517","1678","3","53","53","16","1"
"50","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","56","5320.958943052006","0.0410569480024483","109","230","1661","1862","1","45","45","11","7"
"57","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","52","4921.574438860011","399.425561139993","46","252","752","882","1","38","38","14","11"
"56","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","68","5320.962331071994","0.037668927994192636","56","176","1504","1641","0","55","55","13","4"
"59","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","64","4542.310490996003","778.6895090039947","39","236","753","874","2","46","46","18","14"
"61","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","62","5006.481592372001","314.51840762800043","38","269","775","902","4","46","46","16","9"
"63","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","53","4554.060202715996","766.9397972840021","41","242","738","861","2","40","40","13","6"
"65","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","52","5295.7286677560005","25.271332243996813","47","255","798","933","4","46","46","6","10"
"58","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","64","5320.952698120011","0.04730187999773605","133","222","1432","1669","3","58","58","6","3"
"60","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","60","5320.938636096004","0.06136390399799563","106","191","1533","1723","1","54","54","6","3"
"62","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","72","5320.965589236003","0.03441076398804199","75","161","1437","1596","1","60","60","12","2"
"67","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","50","4941.485013768008","379.5149862319916","65","258","752","916","1","44","44","6","12"
"69","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","53","5319.42164220801","1.5783577919996072","36","208","795","918","8","47","47","6","5"
"64","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","false","true","true","999","69","5320.785865003993","0.2141349959977279","69","154","1408","1562","4","63","63","6","2"
"71","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","51","4914.429313456","406.5706865439917","50","236","765","896","3","40","40","11","10"
"73","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","10","9","true","false","true","true","true","true","true","true","999","57","4741.813819824005","579.1861801759907","28","252","764","895","4","48","48","9","9"
