BehaviorSpace results (NetLogo 6.0.2),,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation_ABM_update2020.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,
adaptation,,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2020 22:47:55:836 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,,,
[run number],meanRiskThreshold,scanningRange,badImpact,numWindows,impactReductionRate,maxCopingReduction,adaptationCost,capBoost,simTicks,minNeighbor,officeRole,changeAspiration,EWProbDecay,b1,[step],count orgs with [coping-change?],count orgs with [adaptation-change?],totalInsufBoost,totalDisasterWindows,totalwindowMissed,totalWindowOpen,totalNoSolution,totalUtilizedWindows,totalNeededWidows,sufficientCap,totalUtilizedDisasterWindows
35,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,1,1001,151,30,140,325,7,325,18,13,13,17,13
36,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,1,1001,163,6,122,353,14,353,107,5,5,1,5
40,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0,1,1001,180,31,111,308,20,308,32,12,12,19,12
42,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0,1001,141,25,113,318,44,318,15,14,14,11,14
48,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0,1001,139,16,142,339,24,339,35,9,9,7,9
45,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0,1001,143,10,120,320,27,320,35,6,6,4,6
52,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,143,11,125,364,31,364,56,8,8,3,8
49,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0,1001,133,25,109,335,38,335,29,12,12,13,12
54,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,130,29,137,314,21,314,9,11,11,18,11
50,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0,1001,147,21,122,297,29,297,15,14,14,7,14
51,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,141,24,149,341,22,341,25,12,12,12,12
47,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0,1001,140,22,130,317,27,317,20,17,17,5,17
56,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,148,12,137,312,33,312,31,6,6,6,6
53,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,142,12,128,326,33,326,28,5,5,7,5
55,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,141,22,112,317,37,317,22,10,10,12,10
46,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0,1001,155,17,103,304,20,304,35,8,8,9,8
59,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,139,27,100,263,32,263,4,11,11,16,11
58,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,138,29,117,317,37,317,5,10,10,19,10
57,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,142,22,115,317,34,317,36,7,7,15,7
75,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,138,29,121,284,28,284,8,14,14,15,14
62,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,138,24,132,336,25,336,19,10,10,14,10
61,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,143,38,133,304,24,304,10,11,11,27,11
64,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,128,19,133,317,30,317,9,13,13,6,13
63,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,142,29,119,283,21,283,10,11,11,18,11
72,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,137,27,127,318,27,318,2,12,12,15,12
68,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,145,16,128,345,23,345,37,7,7,9,7
73,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,143,27,116,282,26,282,2,10,10,17,10
60,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.3,1001,149,21,93,294,24,294,42,11,11,10,11
67,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,140,26,125,331,35,331,7,11,11,15,11
69,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,140,27,121,324,33,324,19,11,11,16,11
71,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,150,14,116,336,39,336,29,10,10,4,10
65,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,157,14,122,308,19,308,22,7,7,7,7
77,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,140,19,131,331,37,331,19,10,10,9,10
76,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,138,27,117,305,21,305,3,12,12,15,12
78,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,140,40,107,274,20,274,7,13,13,27,13
70,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,0.6,1001,133,28,132,325,22,325,16,10,10,18,10
74,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,145,22,113,316,29,316,13,11,11,11,11
82,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.02,0,1001,115,22,89,312,97,312,9,13,13,9,13
80,0.4,4,0.08,0,0.25,0.4,6.5,1,1000,1,1,0,0.01,1,1001,151,12,118,325,27,325,30,9,9,3,9
