"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"network"
"02/18/2020 17:58:27:771 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"32","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","29","2442.283070254002","85","279","720","884","6","19","19","10","7"
"34","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","15","2674.307865419997","73","319","768","933","18","11","11","4","6"
"36","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","17","2644.0894059760008","127","300","701","920","5","8","8","9","3"
"40","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","21","2388.073970916002","97","302","702","887","14","11","11","10","2"
"41","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","20","2838.672815802003","109","279","785","983","17","15","15","5","2"
"38","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","15","2601.350826201999","99","313","766","952","17","10","10","5","4"
"37","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","19","2650.9045255120004","87","287","760","944","28","14","14","5","6"
"39","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","30","2598.806269722004","85","273","746","912","16","19","19","11","6"
"43","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","24","2622.344548140002","100","304","783","959","2","10","10","14","1"
"35","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","16","2870.310618084007","85","317","813","991","29","13","13","3","2"
"42","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","16","2883.4612461700035","143","308","735","973","20","14","14","2","3"
"46","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","16","2623.6024849360024","110","323","757","964","22","13","13","3","3"
"47","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","19","2545.1007255140003","84","283","701","891","23","16","16","3","4"
"48","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","27","2267.1448621660006","104","286","669","842","0","17","17","10","4"
"44","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","20","2536.7651693020007","87","308","765","936","11","16","16","4","9"
"45","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","18","2882.818942846","73","306","807","1013","80","11","11","7","3"
"50","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","20","2571.080286997999","102","316","739","931","1","15","15","5","4"
"49","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","10","2731.3364035600016","82","329","724","915","42","9","9","1","1"
"51","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","20","2698.445046004002","107","325","758","956","5","15","15","5","3"
"52","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","33","2305.924172464003","79","279","705","869","4","17","17","16","2"
"53","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","14","2822.583170340002","90","297","770","967","42","12","12","2","1"
"55","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","31","2348.5056656840006","91","273","650","826","6","22","22","9","6"
"54","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","21","2753.9574305640026","87","326","743","940","45","16","16","5","4"
"57","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","31","2241.2614823800027","60","259","673","814","10","22","22","9","5"
"56","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","25","2664.855796314003","68","318","840","972","6","11","11","14","3"
"58","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","35","2574.4355817020005","75","296","742","902","1","23","23","12","5"
"59","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","28","2647.604867442003","89","308","795","964","2","18","18","10","4"
"60","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","21","2571.8235784860017","94","279","757","915","2","12","12","9","1"
"62","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","26","2303.339871680001","87","273","713","872","7","12","12","14","3"
"61","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","23","2568.7523450840013","101","294","684","896","26","15","15","8","4"
"63","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","20","2653.390057382001","95","315","803","982","19","9","9","11","2"
"69","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","15","2567.6809173440074","83","285","715","876","6","13","13","2","3"
