"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"inceaseChanceMemory"
"03/29/2020 13:25:12:369 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","randomChance","startingFund","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"27","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","0","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","32","2954.039647168002","15","382","313","478","5","11","11","21","6","96"
"1","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","0","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","40","2608.949272032","6","344","276","437","6","18","18","22","14","93"
"15","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","2","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","48","5293.638341948003","33","326","569","863","3","29","29","19","5","537"
"17","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","6","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","46","7462.127907940011","63","317","975","1437","4","35","35","11","7","1123"
"14","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","0","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","37","2687.5015826560016","6","358","304","455","4","13","13","24","10","97"
"3","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","4","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","60","7462.566733092012","42","365","760","1285","2","35","35","25","2","922"
"16","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","4","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","42","7024.031079892008","68","349","797","1195","4","28","28","14","6","849"
"2","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","2","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","52","5127.868297091996","25","326","563","872","2","21","21","31","6","547"
"28","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","2","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","52","5174.736389324002","27","344","580","901","0","28","28","24","6","557"
"19","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","10","0.3","0.3","0.03","5.0E-4","7463","true","false","true","true","true","false","true","true","1000","47","7462.637748095994","52","340","1220","1799","1","33","33","14","5","1461"
