"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn4"
"02/02/2020 16:31:55:421 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"32","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","36","1","0","0","true","true","true","true","1001","79","1095","216","138","1523","19","68","68","11","0"
"41","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","36","0.3","0.3","0","true","true","true","true","1001","44","69","310","1","310","4","24","24","20","24"
"34","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","1","0","0","true","true","true","true","1001","51","616","281","43","988","15","46","46","5","0"
"52","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","24","0.6","0.3","0","true","true","true","true","1001","102","882","230","30","1160","10","84","84","18","7"
"51","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","24","0.6","0.3","0","true","true","true","true","1001","64","893","264","34","1188","12","55","55","9","4"
"36","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","48","1","0","0","true","true","true","true","1001","75","1153","237","131","1606","36","68","68","7","0"
"33","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","1","0","0","true","true","true","true","1001","22","0","325","12","325","12","0","0","22","0"
"42","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","36","0.3","0.3","0","true","true","true","true","1001","62","682","288","25","961","23","55","55","7","6"
"43","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","36","0.3","0.3","0","true","true","true","true","1001","95","761","226","34","1032","11","72","72","23","8"
"50","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","24","0.6","0.3","0","true","true","true","true","1001","78","582","238","29","861","22","67","67","11","13"
"46","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","true","true","true","1001","74","654","270","31","944","19","63","63","11","4"
"55","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","36","0.6","0.3","0","true","true","true","true","1001","82","828","227","41","1092","4","67","67","15","6"
"45","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","true","true","true","1001","39","72","326","0","326","4","19","19","20","19"
"44","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","36","0.3","0.3","0","true","true","true","true","1001","83","1197","247","48","1488","6","62","62","21","4"
"54","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","36","0.6","0.3","0","true","true","true","true","1001","80","522","250","40","807","7","65","65","15","6"
"53","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","36","0.6","0.3","0","true","true","true","true","1001","39","57","271","3","271","6","20","20","19","20"
"48","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","true","true","true","1001","90","1028","224","82","1353","5","75","75","15","5"
"56","0.4","4","0.08","20","0.25","0.4","6.5","2","1000","1","36","0.6","0.3","0","true","true","true","true","1001","93","1111","220","36","1384","12","77","77","16","6"
"47","0.4","4","0.08","15","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0","true","true","true","true","1001","92","817","189","34","1043","2","67","67","25","5"
