"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numOpts"
"06/07/2020 23:50:03:726 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalAlreadyAdapted","totalOrgOpts","totalUtilizedOrgOpt","totalNonEligibleDisasterOpt"
"24","0.62","4","14","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","15145.346325443956","12606","2401","68","9","1150","9","28","28","17","0","538","1257","19","70"
"21","0.62","4","8","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","46","11514.93770725596","12606","1804","67","7","1112","8","19","19","27","0","521","697","11","79"
"29","0.62","4","24","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","20266.74025513994","12606","3386","175","15","1044","7","29","29","16","0","759","2349","22","93"
"30","0.62","4","26","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","53","22020.04880036795","12606","3591","208","17","1079","5","37","37","16","0","1010","2526","32","104"
"36","0.62","4","6","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","10236.888740940001","12606","1625","42","6","1137","11","19","19","24","0","388","491","8","79"
"33","0.62","4","0","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","7271.98417022399","12606","1110","42","1","1110","16","16","16","23","0","292","0","0","103"
"34","0.62","4","2","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","33","7736.756406711995","12606","1180","26","9","1086","8","11","11","22","0","245","94","3","73"
"35","0.62","4","4","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","35","9120.937790963984","12606","1412","64","4","1114","8","17","17","18","0","269","298","9","112"
"31","0.62","4","28","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","22857.901240099964","12606","3669","122","6","1148","6","28","28","21","0","941","2538","22","68"
"37","0.62","4","8","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","47","10950.46834716798","12606","1706","92","0","1060","6","13","13","34","0","410","650","7","125"
"32","0.62","4","30","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","23905.95002013991","12606","3831","146","6","1104","4","24","24","16","0","686","2747","20","93"
"38","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","47","12493.755391087954","12606","1982","81","4","1110","8","18","18","29","0","521","879","10","81"
"39","0.62","4","12","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","55","13785.921248211942","12606","2217","97","10","1094","11","28","28","27","0","619","1129","17","82"
"43","0.62","4","20","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","17967.43197116394","12606","2906","102","12","1157","3","23","23","20","0","710","1757","20","48"
"49","0.62","4","0","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","7484.213809664002","12606","1137","27","6","1137","10","10","10","29","0","285","0","0","106"
"41","0.62","4","16","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","35","16431.970029423952","12606","2574","178","9","1121","3","16","16","19","0","586","1470","13","125"
"42","0.62","4","18","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","17749.481979243952","12606","2791","140","5","1087","8","30","30","14","0","741","1716","22","104"
"40","0.62","4","14","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","38","14451.715221403938","12606","2266","127","8","1082","7","26","26","12","0","491","1195","19","102"
"44","0.62","4","22","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","51","20068.376610687956","12606","3159","148","7","1105","6","23","23","28","0","855","2068","17","91"
"50","0.62","4","2","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","7634.790767044009","12606","1171","21","5","1072","15","15","15","27","0","282","99","0","63"
"45","0.62","4","24","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","53","20501.0793472319","12606","3296","181","4","1118","2","28","28","25","0","879","2192","26","89"
"47","0.62","4","28","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","33","23442.20157444382","12606","3652","247","57","1067","5","26","26","7","0","546","2603","21","106"
"48","0.62","4","30","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","48","22722.652703711996","12606","3709","133","9","1050","6","34","34","14","0","924","2672","28","69"
"46","0.62","4","26","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","53","20981.966945531964","12606","3353","126","22","1080","1","29","29","24","0","993","2281","28","64"
"51","0.62","4","4","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","30","9042.639411196003","12606","1391","54","8","1099","9","14","14","16","0","242","293","5","88"
"52","0.62","4","6","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","10285.34453263598","12606","1594","75","2","1136","8","18","18","23","0","308","459","10","87"
"54","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","13363.449929223987","12606","2022","56","7","1113","7","19","19","26","0","438","914","12","57"
"53","0.62","4","8","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","10944.905776555972","12606","1730","78","4","1081","8","17","17","26","0","437","651","9","93"
"55","0.62","4","12","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","14221.574614783924","12606","2265","140","7","1175","5","19","19","20","0","542","1099","14","148"
"56","0.62","4","14","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","15237.313589019888","12606","2475","89","13","1130","8","24","24","16","0","517","1353","16","79"
"57","0.62","4","16","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","16050.1943775919","12606","2486","145","13","1121","10","23","23","19","0","578","1369","13","117"
"60","0.62","4","22","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","38","20062.182153471964","12606","3171","149","9","1068","4","20","20","18","0","662","2117","16","82"
"61","0.62","4","24","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","21811.899101995896","12606","3421","222","7","1095","9","29","29","20","0","877","2336","21","127"
"58","0.62","4","18","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","17765.941295319946","12606","2839","120","29","1128","5","29","29","20","0","654","1719","24","113"
"66","0.62","4","2","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","48","8242.461983299998","12606","1252","44","4","1160","18","22","22","26","0","417","93","4","121"
"67","0.62","4","4","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","38","9035.075713331984","12606","1406","102","6","1106","9","16","16","22","0","322","301","7","175"
"69","0.62","4","8","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","11455.688890131973","12606","1823","108","3","1139","13","27","27","16","0","446","686","14","131"
"62","0.62","4","26","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","23018.84038587997","12606","3596","128","6","1134","2","25","25","20","0","788","2474","23","69"
"71","0.62","4","12","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","13356.474622779902","12606","2139","72","4","1056","6","21","21","24","0","537","1088","15","100"
"68","0.62","4","6","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","9988.222135763986","12606","1553","57","9","1066","11","22","22","19","0","466","489","11","75"
"65","0.62","4","0","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","51","7032.70035205998","12606","1067","29","12","1067","15","15","15","36","0","372","0","0","86"
"64","0.62","4","30","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","24628.075968283832","12606","4003","110","9","1129","2","27","27","17","0","976","2901","25","55"
"59","0.62","4","20","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","35","18184.715891175943","12606","2883","142","2","1112","6","19","19","16","0","490","1778","13","96"
"70","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12634.569032467958","12606","2004","91","11","1077","5","17","17","23","0","361","938","13","80"
"63","0.62","4","28","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","23047.79061931591","12606","3658","161","9","1083","7","31","31","14","0","806","2585","25","78"
