"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChance2"
"06/10/2020 21:29:52:106 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"17","0.52","4","10","0.3","4","4","1000","1","0.07","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","50","10658.979375431985","0.020624568005542798","8288","4196","487","16","3476","79","800","1","34","34","16","0","7546","33"
"10","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","48","10658.984176043983","0.01582395602479858","11547","5812","541","22","5106","35","775","0","31","31","17","0","10850","31"
"7","0.52","4","10","0.3","4","4","1000","1","0.07","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","10658.977694239995","0.022305760034061706","8448","4730","369","11","3268","45","828","1","25","25","20","0","7675","24"
"18","0.52","4","10","0.3","4","4","1000","1","0.08","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","10658.97443751598","0.025562483982650264","9527","4904","939","17","3541","98","773","1","28","28","14","0","8808","27"
"9","0.52","4","10","0.3","4","4","1000","1","0.09","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","10658.999183471986","8.165280346954518E-4","10379","5526","576","22","4167","56","788","2","32","32","14","0","9652","30"
"31","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","50","10657.859436003957","1.140563996025298","1861","846","87","3","834","70","823","9","21","21","29","0","1044","12"
"34","0.52","4","10","0.3","4","4","1000","1","0.04","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","10658.98710463596","0.012895364039367863","5182","2273","406","16","2368","89","817","4","30","30","19","0","4396","26"
"33","0.52","4","10","0.3","4","4","1000","1","0.03","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","10658.968820211967","0.031179787998773634","3917","1811","318","17","1632","108","772","3","31","31","15","0","3173","28"
"42","0.52","4","10","0.3","4","4","1000","1","0.02","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","10658.975145699973","0.0248543000256074","2963","1476","77","7","1330","46","842","3","27","27","22","0","2138","24"
"30","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","54","10658.975529959973","0.024470040034359375","11335","4837","849","22","5525","63","784","1","39","39","15","0","10633","38"
"37","0.52","4","10","0.3","4","4","1000","1","0.07","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","51","10658.99502272797","0.004977272034732749","8397","4154","273","16","3892","32","778","2","30","30","21","0","7668","28"
"32","0.52","4","10","0.3","4","4","1000","1","0.02","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","55","10658.948134375967","0.051865624014044265","3074","1293","179","6","1492","76","819","4","28","28","27","0","2267","24"
"29","0.52","4","10","0.3","4","4","1000","1","0.09","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","30","10658.94633017998","0.05366982004065246","10526","6159","1251","104","2883","106","761","0","23","23","7","0","9831","23"
"43","0.52","4","10","0.3","4","4","1000","1","0.03","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","56","10658.953631899987","0.04636810001618619","4075","1663","174","11","2143","50","797","4","34","34","22","0","3296","30"
"41","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","57","10658.99223261198","0.007767388030858413","1867","793","69","4","924","52","772","8","25","25","32","0","1101","17"
"44","0.52","4","10","0.3","4","4","1000","1","0.04","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","40","10658.955494459988","0.044505540017762524","5122","3000","265","10","1764","59","795","1","24","24","16","0","4364","23"
"35","0.52","4","10","0.3","4","4","1000","1","0.05","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","52","10658.957363255966","0.042636744018950345","6210","2830","334","12","2926","69","807","0","39","39","13","0","5444","39"
"40","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","43","10658.951358763989","0.04864123601726922","11687","6388","785","22","4399","64","795","2","29","29","14","0","10971","27"
"39","0.52","4","10","0.3","4","4","1000","1","0.09","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","51","10658.99599205598","0.004007944014441378","10595","5114","718","25","4630","76","852","3","32","32","19","0","9820","30"
"45","0.52","4","10","0.3","4","4","1000","1","0.05","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","10658.940473615969","0.05952638403086885","6107","3089","435","12","2469","79","820","1","23","23","22","0","5320","22"
"36","0.52","4","10","0.3","4","4","1000","1","0.06","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","10658.98616805598","0.01383194404782273","7151","3581","496","9","2952","84","839","1","29","29","17","0","6353","28"
"38","0.52","4","10","0.3","4","4","1000","1","0.08","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","54","10658.961923163984","0.03807683603912615","9546","4421","691","12","4320","69","819","0","33","33","21","0","8798","33"
"51","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","10658.867757151978","0.13224284802424524","1862","844","63","10","860","58","792","9","27","27","22","0","1082","18"
"46","0.52","4","10","0.3","4","4","1000","1","0.06","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","10658.998524927998","0.0014750720250953364","7200","3478","531","16","3064","73","785","2","38","38","11","0","6451","37"
"48","0.52","4","10","0.3","4","4","1000","1","0.08","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","10658.98296549599","0.017034504039277643","9263","4381","714","14","4046","75","774","1","33","33","16","0","8549","32"
"47","0.52","4","10","0.3","4","4","1000","1","0.07","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","48","10658.965812415967","0.034187584014795824","8304","3966","721","20","3453","108","811","2","36","36","12","0","7547","34"
"52","0.52","4","10","0.3","4","4","1000","1","0.02","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","10658.977256203985","0.022743796010141537","2911","1433","300","8","1022","125","804","3","23","23","15","0","2128","20"
"53","0.52","4","10","0.3","4","4","1000","1","0.03","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","10658.953547136007","0.04645286402671989","3956","1994","217","9","1644","57","770","2","35","35","10","0","3210","33"
"54","0.52","4","10","0.3","4","4","1000","1","0.04","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","10658.94478460799","0.05521539202095571","5167","2481","567","10","1941","143","811","3","25","25","19","0","4396","22"
"50","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","10658.951793483984","0.0482065160240821","11758","6354","898","18","4378","77","859","0","33","33","8","0","11003","33"
"49","0.52","4","10","0.3","4","4","1000","1","0.09","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","10658.97180471998","0.028195280016941826","10681","5807","951","24","3790","88","813","1","21","21","24","0","9953","20"
"55","0.52","4","10","0.3","4","4","1000","1","0.05","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","10658.96194620395","0.03805379604408987","6364","3424","282","6","2573","46","855","1","33","33","13","0","5557","32"
"56","0.52","4","10","0.3","4","4","1000","1","0.06","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","10658.944914943979","0.05508505601305336","7247","3724","716","18","2659","101","833","1","29","29","12","0","6454","28"
"57","0.52","4","10","0.3","4","4","1000","1","0.07","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","10658.993096019978","0.006903980005477983","8451","4186","613","27","3508","85","777","1","32","32","14","0","7728","31"
"61","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","10658.240135403976","0.7598645960402641","1918","867","120","8","800","99","748","4","24","24","23","0","1180","20"
"66","0.52","4","10","0.3","4","4","1000","1","0.06","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","52","10658.947171047985","0.05282895202716453","7367","3721","523","12","3001","75","806","2","35","35","17","0","6597","34"
"62","0.52","4","10","0.3","4","4","1000","1","0.02","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","52","10658.568079339977","0.4319206600244181","2853","1203","237","8","1246","121","763","6","38","38","14","0","2103","32"
"64","0.52","4","10","0.3","4","4","1000","1","0.04","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","44","10658.997477743967","0.0025222560169111397","5147","2572","373","10","2090","75","821","3","27","27","17","0","4360","24"
"60","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","46","10658.961301359983","0.03869864001434742","11633","5930","918","27","4645","86","853","1","27","27","19","0","10862","26"
"65","0.52","4","10","0.3","4","4","1000","1","0.05","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","10658.988663587974","0.011336412015831243","6184","3143","397","16","2523","75","827","5","30","30","15","0","5387","25"
"63","0.52","4","10","0.3","4","4","1000","1","0.03","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","50","10658.950507192003","0.04949280800194522","4069","2019","229","8","1724","61","808","2","28","28","22","0","3283","27"
"68","0.52","4","10","0.3","4","4","1000","1","0.08","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","54","10658.99287655199","0.007123448035750712","9504","4432","463","19","4506","47","724","1","37","37","17","0","8850","36"
"58","0.52","4","10","0.3","4","4","1000","1","0.08","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","10658.966422683961","0.033577316030958926","9530","5276","548","17","3597","62","754","0","30","30","11","0","8835","30"
"69","0.52","4","10","0.3","4","4","1000","1","0.09","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","10658.96310143596","0.03689856401197389","10632","4914","1170","26","4375","116","833","1","31","31","14","0","9878","30"
"71","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","39","10658.976226083993","0.023773916007768126","1967","988","144","9","684","120","865","6","22","22","17","0","1112","16"
"59","0.52","4","10","0.3","4","4","1000","1","0.09","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","10658.979344931979","0.020655068027514822","10462","5071","807","19","4465","68","797","1","32","32","15","0","9735","32"
"67","0.52","4","10","0.3","4","4","1000","1","0.07","48","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","51","10658.97077835197","0.02922164803481664","8379","4356","225","27","3718","26","807","2","27","27","24","0","7620","25"
