"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"randomChance"
"06/11/2020 23:14:01:552 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","randomChance","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"16","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","43","5587.682904796","5064.317095204029","860","126","81","3","416","226","791","5","8","8","35","0","69","3"
"12","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","35","5589.210778563999","5062.789221436023","857","70","140","10","324","303","837","9","10","10","25","0","20","1"
"14","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","50","5604.4626095440035","5047.537390456026","833","103","62","5","487","156","788","18","20","20","30","0","45","2"
"19","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","44","5729.641046404003","4922.358953596039","867","108","91","4","407","243","798","13","14","14","30","0","69","1"
"30","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","40","5918.934669472006","4733.0653305280175","920","134","103","11","375","284","832","11","13","13","27","0","88","2"
"32","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","38","5964.676924051993","4687.323075948036","909","115","124","10","366","283","818","8","11","11","27","0","91","3"
"39","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","41","5996.388457916002","4655.61154208404","903","107","96","10","437","240","845","11","13","13","28","0","58","2"
"41","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","36","5837.295715996004","4814.704284004038","911","119","109","6","349","319","831","8","9","9","27","0","80","1"
"35","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","39","6143.498057672003","4508.501942328019","924","77","105","4","452","272","895","14","14","14","25","0","29","0"
"34","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","49","5076.974042163999","5575.025957836045","771","59","72","4","413","211","751","12","12","12","37","0","20","0"
"29","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","41","5791.370381820005","4860.629618180041","892","127","102","4","405","242","818","11","12","12","29","0","74","1"
"42","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","8.0E-4","true","true","true","true","false","true","true","false","1000","46","5770.670056036008","4881.329943964016","901","129","127","7","360","263","822","14","15","15","31","0","79","1"
"47","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","55","5735.13097342","4916.869026580014","856","75","80","2","518","166","814","14","15","15","40","0","42","1"
"37","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","3.0E-4","true","true","true","true","false","true","true","false","1000","51","5294.4788147240015","5357.5211852760585","814","99","68","3","439","191","766","14","14","14","37","0","49","0"
"50","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","44","5916.880423779998","4735.11957622003","903","142","84","1","484","174","829","15","18","18","26","0","74","3"
"40","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","34","5868.357016772005","4783.642983228031","893","118","123","2","372","263","813","15","15","15","19","0","80","0"
"38","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","39","5729.6287019959955","4922.371298004035","881","83","101","13","400","276","833","8","8","8","31","0","48","0"
"52","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","43","5592.243484663998","5059.756515336013","862","122","113","15","371","226","793","14","15","15","28","0","69","1"
"43","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","38","5835.465236804011","4816.5347631960185","891","142","99","10","358","267","789","13","15","15","23","0","102","2"
"33","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0.001","true","true","true","true","false","true","true","false","1000","42","5971.214831304008","4680.7851686960375","904","149","94","11","394","242","799","13","14","14","28","0","105","1"
"48","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","3.0E-4","true","true","true","true","false","true","true","false","1000","49","5746.241296400002","4905.758703600034","890","97","90","7","477","204","840","15","15","15","34","0","50","0"
"46","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","49","5460.206928968002","5191.793071032014","809","61","62","4","484","184","776","13","14","14","35","0","33","1"
"31","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","8.0E-4","true","true","true","true","false","true","true","false","1000","34","5902.479715903999","4749.52028409603","901","116","139","3","345","286","811","12","12","12","22","0","90","0"
"45","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","43","5663.762787575999","4988.237212424008","847","66","102","7","394","268","825","10","10","10","33","0","22","0"
"44","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0.001","true","true","true","true","false","true","true","false","1000","56","5998.986359300005","4653.013640700039","923","143","63","4","518","174","804","17","21","21","35","0","120","4"
"36","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","52","5371.075110412003","5280.924889588021","834","103","65","4","448","198","795","16","16","16","36","0","40","0"
"53","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","8.0E-4","true","true","true","true","false","true","true","false","1000","48","6793.489543347992","3858.510456652016","999","166","87","1","525","205","872","14","15","15","33","0","127","1"
"49","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","42","5803.9197204679995","4848.080279532035","866","92","114","14","370","264","802","9","12","12","30","0","64","3"
"51","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","40","6099.939435856002","4552.060564144018","892","100","102","4","417","260","820","9","9","9","31","0","72","0"
"54","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","44","6317.160717500002","4334.839282500018","925","150","59","8","466","231","832","10","11","11","33","0","93","1"
"55","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0.001","true","true","true","true","false","true","true","false","1000","38","6090.563945196004","4561.436054804047","941","176","83","11","405","250","816","15","16","16","22","0","125","1"
"56","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0","true","true","true","true","false","true","true","false","1000","40","5509.4850194280025","5142.514980572032","851","61","132","6","349","290","825","11","13","13","27","0","26","2"
"60","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","41","5889.703538763997","4762.296461236043","891","94","107","4","475","197","831","14","14","14","27","0","60","0"
"59","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","3.0E-4","true","true","true","true","false","true","true","false","1000","49","5667.758854191999","4984.241145808032","857","87","72","6","513","170","809","8","9","9","40","0","48","1"
"63","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","37","5333.763753163999","5318.236246836046","808","122","77","4","350","245","739","10","10","10","27","0","70","0"
"58","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","45","5562.816024536008","5089.183975464012","825","70","77","4","423","241","786","9","10","10","35","0","39","1"
"68","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","38","5331.561504036001","5320.438495964036","827","62","97","2","389","264","794","12","13","13","25","0","33","1"
"61","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","45","5580.790309824","5071.209690176025","845","96","84","5","430","216","770","13","14","14","31","0","75","1"
"57","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","43","5604.906868140003","5047.093131860019","841","87","95","4","421","219","800","15","15","15","28","0","41","0"
"69","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","39","5645.249250528005","5006.750749472053","856","73","130","4","342","298","816","9","9","9","30","0","41","0"
