"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/07/2020 02:47:23:297 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpt","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOpportunitiesMissed","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpportunities","totalUtilizedDisasterOpportunities","totalUtilizedOpportunities","totalNeededOpportunities","sufficientCap","totalUtilized"
"27","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","55","12300.60871839998","38217","1055","1911","98","9","1084","10","24","24","31","0"
"30","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","13015.617316099955","38217","1307","1959","133","6","1122","6","16","16","25","0"
"31","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12011.666226007954","38217","1159","1978","173","7","1121","5","16","16","23","0"
"32","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","13212.663285975945","38217","1356","2023","82","13","1133","7","19","19","19","0"
"34","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","12205.423923227943","38217","1246","1904","80","6","1112","7","15","15","21","0"
"35","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","12470.083190555944","38217","1042","1924","154","4","1061","11","24","24","28","0"
"33","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","13261.261879863965","38217","1371","2035","89","12","1116","8","23","23","19","0"
"36","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","12858.326238987958","38217","1229","2033","90","9","1172","11","24","24","26","0"
"41","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","33","12352.525895523977","38217","1373","1984","128","10","1091","1","13","13","20","0"
"39","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","13310.054503223919","38217","1265","2058","73","4","1135","10","20","20","32","0"
"38","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12495.570179159962","38217","1242","1967","75","2","1120","4","19","19","23","0"
"40","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","36","12929.362617903946","38217","1447","2036","83","19","1086","7","18","18","18","0"
"42","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","12373.10078537597","38217","1325","1938","83","8","1076","6","20","20","18","0"
"44","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","48","12217.644929759956","38217","1206","1907","66","6","1076","9","21","21","27","0"
"37","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12324.19821522398","38217","1339","1954","73","5","1061","10","22","22","20","0"
"43","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","12572.315340487969","38217","1367","1953","73","5","1075","12","25","25","16","0"
"45","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","57","12348.919707971982","38217","1205","1918","77","9","1078","9","25","25","32","0"
"49","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","12529.47060195999","38217","1165","1923","74","5","1071","9","26","26","25","0"
"50","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12831.684974235966","38217","1313","1986","86","4","1091","12","22","22","18","0"
"47","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","58","12161.49816649197","38217","1032","1860","62","6","1103","12","21","21","37","0"
"46","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","38","12172.61529020394","38217","1328","1931","102","21","1057","10","23","23","15","0"
"48","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","47","12529.257428427967","38217","1208","1928","64","14","1119","11","22","22","25","0"
"54","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","48","11493.45863141597","38217","1213","1854","71","2","1095","8","21","21","27","0"
"51","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","12604.110097151946","38217","1154","1957","83","29","1124","6","19","19","33","0"
"55","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","51","13199.855871955937","38217","1099","2052","129","10","1100","10","31","31","20","0"
"52","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","12376.169197239962","38217","1322","1958","92","6","1075","4","19","19","22","0"
"53","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12471.03369813195","38217","1240","1979","118","14","1131","7","16","16","24","0"
