"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"adaptation"
"01/17/2020 15:20:21:738 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"38","0.6","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"42","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","10","0","0","0","0","0","0","0","10","0"
"48","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","22","0","0","0","0","0","0","0","22","0"
"41","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","7","0","0","0","0","0","0","0","7","0"
"51","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"46","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","2","0","0","0","0","0","0","0","2","0"
"52","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"56","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"45","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0","1001","0","0","0","0","0","0","0","0","0","0"
"55","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"50","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","9","0","0","0","0","0","0","0","9","0"
"54","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","12","0","0","0","0","0","0","0","12","0"
"57","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"58","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","7","0","0","0","0","0","0","0","7","0"
"60","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"62","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","3","0","0","0","0","0","0","0","3","0"
"67","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","6","0","0","0","0","0","0","0","6","0"
"61","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","9","0","0","0","0","0","0","0","9","0"
"59","0.6","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"65","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","5","0","0","0","0","0","0","0","5","0"
"68","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","10","0","0","0","0","0","0","0","10","0"
"73","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","6","0","0","0","0","0","0","0","6","0"
"63","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","15","0","0","0","0","0","0","0","15","0"
"71","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"72","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"74","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","12","0","0","0","0","0","0","0","12","0"
"66","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","13","0","0","0","0","0","0","0","13","0"
"75","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"70","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","11","0","0","0","0","0","0","0","11","0"
"78","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","8","0","0","0","0","0","0","0","8","0"
"79","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"64","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","9","0","0","0","0","0","0","0","9","0"
"69","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","11","0","0","0","0","0","0","0","11","0"
"81","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0","1001","8","0","0","0","0","0","0","0","8","0"
"76","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"80","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"77","0.6","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"82","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0","1001","9","0","0","0","0","0","0","0","9","0"
"83","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0","1001","12","0","0","0","0","0","0","0","12","0"
"84","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0","1001","8","0","0","0","0","0","0","0","8","0"
"85","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0","1001","7","0","0","0","0","0","0","0","7","0"
"86","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","7","0","0","0","0","0","0","0","7","0"
"87","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","12","0","0","0","0","0","0","0","12","0"
"89","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","0","0","0","0","0","0","0","0","0","0"
"91","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","12","0","0","0","0","0","0","0","12","0"
"90","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","11","0","0","0","0","0","0","0","11","0"
"96","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"92","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","15","0","0","0","0","0","0","0","15","0"
"88","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.01","1001","5","0","0","0","0","0","0","0","5","0"
"94","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","4","0","0","0","0","0","0","0","4","0"
"97","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"99","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"93","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","12","0","0","0","0","0","0","0","12","0"
"100","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","6","0","0","0","0","0","0","0","6","0"
"95","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"98","0.6","4","0.08","20","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","11","0","0","0","0","0","0","0","11","0"
"107","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","9","0","0","0","0","0","0","0","9","0"
"112","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","14","0","0","0","0","0","0","0","14","0"
"105","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0","1001","0","0","0","0","0","0","0","0","0","0"
"104","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0","1001","0","0","0","0","0","0","0","0","0","0"
"108","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","1","0","0","0","0","0","0","0","1","0"
"101","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0","1001","6","0","0","0","0","0","0","0","6","0"
"110","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","11","0","0","0","0","0","0","0","11","0"
"106","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","11","0","0","0","0","0","0","0","11","0"
"103","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0","1001","2","0","0","0","0","0","0","0","2","0"
"109","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","16","0","0","0","0","0","0","0","16","0"
"102","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0","1001","7","0","0","0","0","0","0","0","7","0"
"111","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"113","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"114","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","9","0","0","0","0","0","0","0","9","0"
"117","0.6","4","0.08","20","0.25","0.4","6.5","4","1000","1","1","0","0.03","1001","3","0","0","0","0","0","0","0","3","0"
