"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 23:18:36:796 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","reduceWindows","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"15","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","9","true","false","true","true","true","false","true","false","999","45","5251.099082303997","48.90091769600063","46","249","778","918","7","40","40","5","10"
"20","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","false","999","62","5299.729585140017","0.27041485999409076","67","228","1312","1470","1","49","49","13","4"
"14","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","2","9","true","false","true","true","true","false","true","false","999","47","3797.290057784007","1502.7099422159924","32","249","595","708","2","38","38","9","12"
"30","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","7","9","true","false","true","true","true","false","true","true","999","63","5299.984395616005","0.015604384000323712","62","206","1166","1322","4","53","53","10","8"
"29","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","true","999","60","5299.9565653000045","0.043434699992539016","81","237","1055","1218","1","54","54","6","9"
"31","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","true","999","49","5299.983321679997","0.016678319998562507","85","238","1488","1661","16","45","45","4","3"
"36","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","2","9","true","false","true","true","true","false","true","false","999","55","3996.3715065480014","1303.6284934520027","30","247","588","709","2","50","50","5","13"
"40","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","false","999","62","5299.895602519995","0.10439747999246096","51","226","1050","1175","5","48","48","14","9"
"35","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","9","true","false","true","true","true","false","true","false","999","49","3174.6238035760016","2125.37619642399","29","261","470","590","6","37","37","12","10"
"32","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","9","9","true","false","true","true","true","false","true","true","999","61","5299.958577960009","0.04142203999493166","65","188","1410","1564","6","58","58","3","3"
"33","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","10","9","true","false","true","true","true","false","true","true","999","61","5299.940996248","0.05900375200817454","151","196","1455","1702","1","56","56","5","4"
"34","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","9","true","false","true","true","true","false","true","false","999","38","2506.682466103999","2793.317533895996","13","259","347","446","4","35","35","3","16"
"42","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","false","999","69","5299.789144784003","0.2108552159977375","37","185","1224","1334","0","54","54","15","10"
"38","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","4","9","true","false","true","true","true","false","true","false","999","59","5158.296941899997","141.70305809999383","57","233","807","947","1","44","44","15","5"
"43","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","9","9","true","false","true","true","true","false","true","false","999","61","5299.950387324004","0.04961267599511565","104","215","1359","1558","2","49","49","12","5"
"39","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","5","9","true","false","true","true","true","false","true","false","999","43","5299.856489399997","0.1435106000021351","67","239","1091","1252","17","40","40","3","4"
"46","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","9","true","false","true","true","true","false","true","true","999","34","3207.361203356","2092.6387966439984","13","260","478","576","10","31","31","3","12"
"37","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","9","true","false","true","true","true","false","true","false","999","56","4339.023148311998","960.9768516880032","12","230","714","810","1","47","47","9","5"
"44","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","10","9","true","false","true","true","true","false","true","false","999","69","5299.937175264006","0.06282473599699401","64","163","1458","1591","1","52","52","17","7"
"47","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","2","9","true","false","true","true","true","false","true","true","999","56","3243.244987035997","2056.755012963999","21","206","543","639","2","40","40","16","11"
"49","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","4","9","true","false","true","true","true","false","true","true","999","56","5212.034476180004","87.96552382000188","26","229","861","964","3","44","44","12","8"
"53","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","true","999","58","5299.787550139996","0.21244985999488053","93","217","1377","1562","9","50","50","8","8"
"45","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","9","true","false","true","true","true","false","true","true","999","43","2182.7471791120006","3117.252820888","7","258","312","407","0","36","36","7","21"
"51","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","true","999","66","5299.57820382801","0.42179617198805097","34","208","1096","1209","6","50","50","16","1"
"52","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","7","9","true","false","true","true","true","false","true","true","999","55","5299.967964787998","0.03203521199447579","76","226","1251","1412","5","48","48","7","9"
"41","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","7","9","true","false","true","true","true","false","true","false","999","59","5299.849088412007","0.15091158800093263","90","225","1216","1393","1","49","49","10","5"
"55","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","10","9","true","false","true","true","true","false","true","true","999","63","5299.991135420012","0.008864579989763754","131","224","1551","1773","1","49","49","14","6"
"56","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","9","true","false","true","true","true","false","true","false","999","41","2119.7779149200005","3180.2220850799986","7","241","338","412","3","26","26","15","11"
"48","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","9","true","false","true","true","true","false","true","true","999","45","5194.975296300002","105.02470369999264","59","268","801","939","1","29","29","16","5"
