"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 17:54:36:893 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"15","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","1.01","true","false","true","true","true","false","true","false","1000","74","4999.952289560003","0.04771043999277058","103","173","2548","2739","1","65","65","9","3"
"27","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5500","2.01","true","false","true","true","true","false","true","false","1000","92","5499.944863704019","0.05513629599086611","209","162","3032","3343","1","78","78","14","3"
"21","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","4500","2.01","true","false","true","true","true","false","true","false","1000","73","4499.940432099996","0.059567900001419094","257","166","3544","3897","1","69","69","4","4"
"24","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","2.01","true","false","true","true","true","false","true","false","1000","71","4999.973264588003","0.02673541199370222","264","170","3665","4018","4","63","63","8","3"
"34","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","3.01","true","false","true","true","true","false","true","false","1000","74","5499.960996760006","0.03900323999721689","343","182","4561","5016","10","73","73","1","0"
"31","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","3.01","true","false","true","true","true","false","true","false","1000","70","4999.987994064009","0.01200593599387112","361","191","4572","5021","4","64","64","6","2"
"37","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","4.01","true","false","true","true","true","false","true","false","1000","74","4499.998064183998","0.0019358159923079654","488","203","5549","6136","2","66","66","8","1"
"40","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5000","4.01","true","false","true","true","true","false","true","false","1000","91","4999.975544384004","0.024455616000670588","337","150","4813","5250","2","81","81","10","1"
"29","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","4500","3.01","true","false","true","true","true","false","true","false","1000","71","4499.993972184005","0.006027815997012631","404","210","4780","5281","5","64","64","7","2"
"32","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","3.01","true","false","true","true","true","false","true","false","1000","75","4999.9845388120075","0.01546118798923457","300","155","4685","5077","5","67","67","8","4"
"35","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","3.01","true","false","true","true","true","false","true","false","1000","72","5499.948014668018","0.051985331987538075","321","175","4857","5274","6","68","68","4","0"
"43","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","4.01","true","false","true","true","true","false","true","false","1000","82","5499.951738779999","0.04826121999383659","524","165","5024","5648","0","75","75","7","0"
"46","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","5.01","true","false","true","true","true","false","true","false","1000","81","4499.983420615998","0.01657938399637926","452","155","6272","6833","2","75","75","6","0"
"38","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","4500","4.01","true","false","true","true","true","false","true","false","1000","83","4499.955203644011","0.04479635599826404","285","162","5441","5819","3","74","74","9","3"
