agencyid,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
5118,0.107,0.05,5.373877042,5.521668988,5.468830727
9031,0.08,0.045,4.949089192,5.04633279,4.959522339
9079,0.08,0.045,4.966314767,5.077657496,4.993791788
4004,0.125,0.065,6.373560214,6.490899451,6.489258629
5154,0.107,0.05,5.383388465,5.522959491,5.517877675
3,0.08,0.045,4.944653597,5.048535646,5.020664843
6012,0.125,0.065,6.37463556,6.493325342,6.463894893
3044,0.12,0.06,5.877740145,6.010641972,5.97576706
4007,0.125,0.065,6.360413272,6.477796381,6.461782017
5011,0.107,0.05,5.397104382,5.535831491,5.464562354
5017,0.107,0.05,5.394009098,5.532500686,5.498047057
7,0.08,0.045,4.949891318,5.042150633,4.961896176
4002,0.125,0.065,6.369461042,6.476918373,6.487393626
3054,0.12,0.06,5.877089376,6.020904829,6.021405501
9206,0.08,0.045,4.945073379,5.05287442,4.94677228
5056,0.107,0.05,5.383230352,5.520553414,5.516776254
9151,0.08,0.045,4.95537273,5.047360163,5.021814894
4001,0.125,0.065,6.36820574,6.496720401,6.492173221
3022,0.12,0.06,5.869571684,5.995465695,5.963226597
2113,0.12,0.06,5.882328685,6.008330272,5.99827914
4130,0.125,0.065,6.357071354,6.473975017,6.468673287
4138,0.125,0.065,6.369833861,6.493348423,6.465207016
8005,0.08,0.045,4.973760901,5.065908189,4.994373718
7001,0.107,0.05,5.388223324,5.53821165,5.500464583
9087,0.08,0.045,4.945809659,5.062586943,4.998396474
21,0.08,0.045,4.960668268,5.057509211,5.038877045
8006,0.08,0.045,4.955877878,5.06301386,5.011055734
8011,0.08,0.045,4.960653929,5.046923212,5.012162609
9001,0.08,0.045,4.97417499,5.075219474,4.988775498
9147,0.08,0.045,4.960957521,5.062344943,5.015202093
4087,0.125,0.065,6.361142747,6.487576812,6.46271296
9003,0.08,0.045,4.946817179,5.052775182,4.972124902
9171,0.08,0.045,4.959163874,5.054526794,4.984540948
5096,0.107,0.05,5.417945036,5.558258209,5.471769354
9144,0.08,0.045,4.964769953,5.074676401,5.03963523
9146,0.08,0.045,4.955837097,5.049945395,5.025897878
9026,0.08,0.045,4.955633687,5.059734719,4.964923845
9030,0.08,0.045,4.951252604,5.039717867,4.989706074
5024,0.107,0.05,5.406392309,5.548312852,5.50688607
9004,0.08,0.045,4.954564863,5.05131427,4.992317408
9008,0.08,0.045,4.957582871,5.055085734,4.975606773
9148,0.08,0.045,4.944855875,5.038327575,4.969951573
9014,0.08,0.045,4.943582183,5.051436371,4.964560203
9039,0.08,0.045,4.959567266,5.059418929,5.027103845
9154,0.08,0.045,4.966702186,5.072350402,5.023752715
5057,0.107,0.05,5.402826265,5.53291949,5.48207652
5022,0.107,0.05,5.387603706,5.531305384,5.521724769
3008,0.125,0.065,6.360178259,6.478101316,6.459749745
5117,0.107,0.05,5.379520998,5.526636311,5.448304136
3023,0.12,0.06,5.879118169,6.011568909,5.987382241
9219,0.08,0.045,4.957248033,5.067897455,5.011752935
4047,0.125,0.065,6.36402196,6.479696528,6.509412381
5059,0.107,0.05,5.402766384,5.539816158,5.464866417
9090,0.08,0.045,4.94515701,5.03971001,4.953851342
9162,0.08,0.045,4.952077962,5.051155926,4.996199341
24,0.08,0.045,4.952597032,5.059884876,4.997108749
9205,0.08,0.045,4.960643534,5.062743789,5.01739136
9078,0.08,0.045,4.958007496,5.041170198,4.98018688
4025,0.125,0.065,6.381901296,6.506490229,6.487826418
9036,0.08,0.045,4.956984291,5.051744001,4.998838759
9019,0.08,0.045,4.948436605,5.047384111,4.96170172
9159,0.08,0.045,4.970855808,5.081422064,5.052852037
9017,0.08,0.045,4.944920563,5.044090643,5.005435286
