"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"zeroTolerance"
"02/17/2020 23:50:48:341 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"30","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","126","2503.657153804","355","183","0","615","7","115","115","11","12"
"31","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","140","2241.761869752003","322","166","0","561","2","119","119","21","16"
"32","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","140","1983.377948416002","295","140","0","508","3","115","115","25","15"
"33","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","120","2593.7827120600014","366","195","0","616","0","109","109","11","11"
"34","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","134","2042.8702054560035","316","178","0","559","3","109","109","25","12"
"37","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","150","1885.6158761680024","275","147","0","507","2","122","122","28","12"
"36","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","139","1977.2244699360003","287","150","0","508","3","121","121","18","16"
"35","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","121","2605.281134348002","406","185","0","641","4","113","113","8","19"
"41","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","142","1985.0205081800013","308","147","0","522","4","114","114","28","16"
"38","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","135","2060.413979624003","283","167","0","515","3","106","106","29","14"
"40","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","139","2136.5401722360025","290","170","0","529","1","123","123","16","20"
"42","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","146","1584.2057052399994","216","115","0","410","3","111","111","35","11"
"39","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","false","true","false","true","1000","121","2496.682251176004","351","190","0","609","9","111","111","10","9"
