"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/07/2020 23:19:17:579 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpt","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"28","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","48","13056.268027767968","12606","2009","1189","108","5","570","114","1141","7","23","23","25","0","874","16"
"15","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","12705.968458727955","12606","2003","1248","73","5","585","69","1119","10","23","23","26","0","888","13"
"11","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12188.996523031974","12606","1894","1198","79","7","505","85","1083","10","20","20","22","0","811","10"
"29","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12293.165512227968","12606","1982","1274","100","8","467","117","1122","6","16","16","24","0","868","10"
"30","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","12654.638646419966","12606","1991","1269","80","6","543","75","1121","13","18","18","31","0","878","5"
"31","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","12852.633540839939","12606","2026","1296","85","3","520","97","1113","7","25","25","18","0","916","18"
"33","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","12437.322140435961","12606","1947","1270","95","7","419","133","1101","9","23","23","20","0","850","14"
"32","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","46","13024.162262227954","12606","2041","1349","75","4","522","70","1099","7","21","21","25","0","943","14"
"37","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","12551.62982861195","12606","2016","1302","90","5","488","108","1086","7","23","23","26","0","934","16"
"38","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","12425.747238839938","12606","2038","1356","92","7","496","61","1077","12","26","26","19","0","964","14"
"36","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12602.932741043931","12606","2009","1335","106","6","475","68","1060","6","19","19","21","0","952","13"
"34","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","12772.168734687979","12606","1961","1239","94","8","489","112","1097","9","19","19","25","0","869","10"
"35","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","53","11927.172838499975","12606","1914","1141","75","7","591","78","1111","10","22","22","31","0","808","12"
"40","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","11866.493424683975","12606","1879","1111","91","4","562","87","1021","9","24","24","21","0","860","15"
"39","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","52","12495.500078227968","12606","1978","1214","76","9","567","84","1115","9","28","28","24","0","869","19"
"41","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","11802.91742031598","12606","1866","1084","95","5","566","98","1011","8","18","18","31","0","864","10"
"44","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","12182.078716019943","12606","1926","1226","58","2","551","67","1057","11","22","22","22","0","876","11"
"45","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","12650.621239427943","12606","1996","1189","144","14","507","124","1124","7","18","18","23","0","873","11"
"42","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","36","12778.592135379924","12606","1998","1258","166","26","347","178","1157","7","23","23","13","0","846","16"
"46","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","50","13141.853225187928","12606","2026","1312","57","4","567","64","1091","6","22","22","28","0","936","16"
"43","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","36","12160.101618323937","12606","1933","1355","105","47","277","138","1099","5","11","11","25","0","836","6"
"49","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","52","12549.796743387946","12606","1989","1189","83","5","561","129","1081","7","22","22","30","0","917","15"
"50","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12865.891172711954","12606","2049","1130","142","7","615","143","1130","7","12","12","30","0","927","5"
"47","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","50","12239.224050543948","12606","1903","1110","103","4","567","89","1051","10","30","30","20","0","856","20"
"52","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","12323.240211167944","12606","1970","1348","77","5","410","110","1117","5","20","20","25","0","856","15"
"48","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","32","12850.436187599971","12606","2008","1478","107","20","285","105","1099","6","13","13","19","0","909","7"
"51","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","55","12792.678166767975","12606","2036","1141","67","5","720","81","1100","7","22","22","33","0","939","15"
"53","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","38","12588.73242924396","12606","1997","1304","109","6","416","142","1113","8","20","20","18","0","891","12"
"54","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12624.357069103966","12606","1934","1368","72","5","382","82","1068","9","25","25","14","0","871","16"
"56","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","34","12609.540918239958","12606","2005","1386","88","4","396","118","1095","3","13","13","21","0","918","10"
"55","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","37","12635.181246655962","12606","1964","1346","65","36","436","64","1104","7","17","17","20","0","863","10"
"57","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","13294.864145923975","12606","2061","1267","81","4","594","88","1134","8","27","27","22","0","933","19"
"58","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","12236.961104587945","12606","1920","1140","151","5","451","155","1059","9","18","18","23","0","863","9"
"61","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","49","12796.564759335974","12606","2012","1271","92","3","528","96","1119","5","22","22","27","0","904","17"
"65","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12257.913207527974","12606","1943","1293","96","3","436","96","1085","2","19","19","20","0","862","17"
"59","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","53","12168.76159872392","12606","1923","1115","83","3","596","98","1076","11","28","28","25","0","852","17"
"60","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","13065.743271151912","12606","2010","1256","107","9","522","96","1088","6","20","20","20","0","924","14"
"69","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","34","12233.979148759945","12606","1917","1342","85","6","381","88","1071","6","15","15","19","0","851","9"
"63","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","12304.029419815963","12606","1954","1266","96","14","417","141","1096","9","20","20","23","0","863","11"
"66","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12525.860928407948","12606","1967","1244","145","7","397","159","1145","8","15","15","24","0","827","7"
"64","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","44","12481.163778815971","12606","1944","1119","150","32","460","161","1108","10","22","22","22","0","840","12"
"67","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12857.257790587988","12606","2034","1236","148","5","457","165","1155","5","23","23","19","0","883","18"
"68","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","12448.969259347949","12606","1946","1210","142","5","442","127","1104","9","20","20","21","0","848","11"
"62","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","32","13630.659816099966","12606","2088","1545","106","33","285","103","1142","5","16","16","16","0","952","11"
"74","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12799.948536003962","12606","1989","1297","75","5","514","77","1116","9","21","21","21","0","881","12"
"77","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","12730.968527423907","12606","1988","1275","92","4","509","92","1102","8","16","16","27","0","894","8"
"70","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","11946.457589799968","12606","1855","1189","62","2","471","107","1098","8","24","24","21","0","759","16"
"73","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","41","12528.664129795938","12606","1946","1323","82","5","428","90","1060","8","18","18","23","0","891","10"
"72","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","37","12190.943830059956","12606","1944","1397","97","6","324","103","1081","6","17","17","20","0","864","11"
"71","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12819.06197491996","12606","2008","1315","110","9","458","97","1094","10","19","19","20","0","918","9"
"75","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12478.221698255978","12606","1959","1318","94","32","387","109","1128","8","19","19","21","0","835","11"
"76","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","48","12093.506265127962","12606","1877","1175","67","7","527","79","1063","9","22","22","26","0","816","13"
"78","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","47","12665.168892455958","12606","2000","1361","57","11","482","65","1078","8","24","24","23","0","925","16"
"82","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","42","12407.379646647967","12606","1929","1212","105","4","481","106","1091","4","21","21","21","0","839","17"
"79","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","31","12857.219193071911","12606","2016","1443","94","3","334","121","1126","9","21","21","10","0","898","12"
"81","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12799.90441839993","12606","1992","1357","78","55","394","88","1160","10","20","20","20","0","838","10"
"80","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","43","12149.358430479948","12606","1913","1298","81","2","433","79","1069","11","20","20","23","0","848","9"
"83","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","12956.71976046396","12606","2011","1334","80","5","474","93","1104","9","25","25","20","0","915","16"
"84","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","47","12459.648146991954","12606","1917","1217","87","0","490","99","1062","12","24","24","23","0","860","12"
"85","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","12684.313539175952","12606","1982","1288","98","9","464","95","1087","11","28","28","17","0","902","17"
"87","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","true","false","false","""allRandom""","1000","45","12438.877361763958","12606","1967","1299","84","4","480","73","1081","9","27","27","18","0","891","19"
