"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"reduceWindows"
"03/13/2020 02:15:28:248 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","randomChance","startingFund","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"6","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","5.0E-4","7490","true","false","true","true","true","false","true","true","1000","52","7489.9597427","0","355","0","2255","0","0","0","52","0","1904"
"8","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","7.0E-4","7490","true","false","true","true","true","false","true","true","1000","52","7489.95806724801","0","336","0","2292","0","0","0","52","0","1959"
"21","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","9.0E-4","7490","true","false","true","true","true","false","true","true","1000","39","7489.969224168011","0","354","0","2188","0","0","0","39","0","1838"
"33","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0.001","7490","true","false","true","true","true","false","true","true","1000","42","7489.937181628006","0","304","0","2256","0","0","0","42","0","1955"
"32","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","9.0E-4","7490","true","false","true","true","true","false","true","true","1000","48","7489.959194096005","0","344","0","2269","0","0","0","48","0","1930"
"34","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0","7490","true","false","true","true","true","false","true","true","1000","50","7489.871261571996","0","345","0","2306","0","0","0","50","0","1964"
"29","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","6.0E-4","7490","true","false","true","true","true","false","true","true","1000","54","7489.971589680007","0","355","0","2351","0","0","0","54","0","1997"
"36","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","2.0E-4","7490","true","false","true","true","true","false","true","true","1000","57","7489.995292367991","0","326","0","2200","0","0","0","57","0","1881"
"30","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","7.0E-4","7490","true","false","true","true","true","false","true","true","1000","63","7489.94558795601","0","359","0","2313","0","0","0","63","0","1958"
"31","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","8.0E-4","7490","true","false","true","true","true","false","true","true","1000","58","7489.967613988012","0","352","0","2240","0","0","0","58","0","1891"
"35","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","1.0E-4","7490","true","false","true","true","true","false","true","true","1000","56","7489.947704872004","0","359","0","2341","0","0","0","56","0","1987"
"49","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","4.0E-4","7490","true","false","true","true","true","false","true","true","1000","58","7489.996380084006","0","352","0","2304","0","0","0","58","0","1955"
"37","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","3.0E-4","7490","true","false","true","true","true","false","true","true","1000","58","7489.946475964013","0","340","0","2403","0","0","0","58","0","2068"
"51","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","6.0E-4","7490","true","false","true","true","true","false","true","true","1000","55","7489.969404595997","0","336","0","2312","0","0","0","55","0","1978"
"43","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","9.0E-4","7490","true","false","true","true","true","false","true","true","1000","44","7489.9621323280035","0","323","0","2299","0","0","0","44","0","1981"
"50","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","5.0E-4","7490","true","false","true","true","true","false","true","true","1000","59","7489.958160652006","0","378","0","2302","0","0","0","59","0","1927"
"38","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","4.0E-4","7490","true","false","true","true","true","false","true","true","1000","57","7489.969717144009","0","353","0","2301","0","0","0","57","0","1956"
"44","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0.001","7490","true","false","true","true","true","false","true","true","1000","55","7489.924800727991","0","343","0","2333","0","0","0","55","0","1995"
"48","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","3.0E-4","7490","true","false","true","true","true","false","true","true","1000","57","7489.983104708001","0","353","0","2289","0","0","0","57","0","1940"
"41","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","7.0E-4","7490","true","false","true","true","true","false","true","true","1000","56","7489.9894673320005","0","347","0","2318","0","0","0","56","0","1975"
"42","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","8.0E-4","7490","true","false","true","true","true","false","true","true","1000","61","7489.998954216002","0","364","0","2332","0","0","0","61","0","1970"
"45","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0","7490","true","false","true","true","true","false","true","true","1000","58","7489.982244672","0","353","0","2253","0","0","0","58","0","1902"
"40","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","6.0E-4","7490","true","false","true","true","true","false","true","true","1000","64","7489.971267140018","0","352","0","2335","0","0","0","64","0","1986"
"46","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","1.0E-4","7490","true","false","true","true","true","false","true","true","1000","62","7489.940497148003","0","316","0","2276","0","0","0","62","0","1961"
"53","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","8.0E-4","7490","true","false","true","true","true","false","true","true","1000","54","7489.818211791997","0","341","0","2337","0","0","0","54","0","2000"
"39","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","5.0E-4","7490","true","false","true","true","true","false","true","true","1000","53","7489.965670536012","0","326","0","2193","0","0","0","53","0","1871"
"52","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","7.0E-4","7490","true","false","true","true","true","false","true","true","1000","63","7489.988059304005","0","379","0","2318","0","0","0","63","0","1942"
"47","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","2.0E-4","7490","true","false","true","true","true","false","true","true","1000","46","7489.981797692006","0","359","0","2331","0","0","0","46","0","1977"
"55","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0.001","7490","true","false","true","true","true","false","true","true","1000","54","7489.97955090001","0","375","0","2317","0","0","0","54","0","1946"
"56","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0","7490","true","false","true","true","true","false","true","true","1000","59","7489.741771340007","0","339","0","2285","0","0","0","59","0","1948"
"54","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","9.0E-4","7490","true","false","true","true","true","false","true","true","1000","41","7489.923342608011","0","326","0","2237","0","0","0","41","0","1913"
"58","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","2.0E-4","7490","true","false","true","true","true","false","true","true","1000","54","7489.971584807991","0","352","0","2312","0","0","0","54","0","1965"
"57","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","1.0E-4","7490","true","false","true","true","true","false","true","true","1000","50","7489.964127360009","0","347","0","2278","0","0","0","50","0","1932"
"61","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","5.0E-4","7490","true","false","true","true","true","false","true","true","1000","48","7489.733959748004","0","353","0","2292","0","0","0","48","0","1940"
"63","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","7.0E-4","7490","true","false","true","true","true","false","true","true","1000","53","7489.969610392002","0","330","0","2273","0","0","0","53","0","1945"
"59","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","3.0E-4","7490","true","false","true","true","true","false","true","true","1000","54","7489.961079796024","0","337","0","2262","0","0","0","54","0","1928"
"62","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","6.0E-4","7490","true","false","true","true","true","false","true","true","1000","61","7489.960620831997","0","327","0","2263","0","0","0","61","0","1938"
"67","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0","7490","true","false","true","true","true","false","true","true","1000","40","7489.940374348007","0","340","0","2302","0","0","0","40","0","1967"
"60","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","4.0E-4","7490","true","false","true","true","true","false","true","true","1000","44","7489.965946691998","0","341","0","2245","0","0","0","44","0","1907"
"68","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","1.0E-4","7490","true","false","true","true","true","false","true","true","1000","53","7489.955324324008","0","341","0","2258","0","0","0","53","0","1922"
"64","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","8.0E-4","7490","true","false","true","true","true","false","true","true","1000","51","7489.712873048005","0","330","0","2243","0","0","0","51","0","1922"
"69","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","2.0E-4","7490","true","false","true","true","true","false","true","true","1000","49","7489.959570584008","0","340","0","2235","0","0","0","49","0","1898"
"78","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0","7490","true","false","true","true","true","false","true","true","1000","48","7489.971874576009","0","362","0","2307","0","0","0","48","0","1951"
"66","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0.001","7490","true","false","true","true","true","false","true","true","1000","55","7489.979996771995","0","352","0","2308","0","0","0","55","0","1957"
"65","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","9.0E-4","7490","true","false","true","true","true","false","true","true","1000","50","7489.984582579993","0","305","0","2209","0","0","0","50","0","1908"
"71","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","4.0E-4","7490","true","false","true","true","true","false","true","true","1000","55","7489.988152840014","0","345","0","2217","0","0","0","55","0","1875"
"79","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","1.0E-4","7490","true","false","true","true","true","false","true","true","1000","50","7489.9949519560005","0","352","0","2273","0","0","0","50","0","1925"
"70","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","3.0E-4","7490","true","false","true","true","true","false","true","true","1000","40","7489.778046647991","0","337","0","2248","0","0","0","40","0","1916"
"72","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","5.0E-4","7490","true","false","true","true","true","false","true","true","1000","53","7489.818961740011","0","342","0","2358","0","0","0","53","0","2019"
"74","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","7.0E-4","7490","true","false","true","true","true","false","true","true","1000","45","7489.809275556006","0","363","0","2330","0","0","0","45","0","1971"
"75","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","8.0E-4","7490","true","false","true","true","true","false","true","true","1000","59","7489.9879995600095","0","355","0","2276","0","0","0","59","0","1923"
"73","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","6.0E-4","7490","true","false","true","true","true","false","true","true","1000","56","7489.9845334160145","0","324","0","2217","0","0","0","56","0","1897"
"76","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","9.0E-4","7490","true","false","true","true","true","false","true","true","1000","50","7489.937697848001","0","361","0","2216","0","0","0","50","0","1855"
"77","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","0.001","7490","true","false","true","true","true","false","true","true","1000","56","7489.973094535998","0","342","0","2331","0","0","0","56","0","1994"
"80","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","2.0E-4","7490","true","false","true","true","true","false","true","true","1000","45","7489.981121943997","0","344","0","2241","0","0","0","45","0","1902"
"81","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","3.0E-4","7490","true","false","true","true","true","false","true","true","1000","60","7489.988698048001","0","348","0","2302","0","0","0","60","0","1956"
"82","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.03","4.0E-4","7490","true","false","true","true","true","false","true","true","1000","48","7489.960589324008","0","343","0","2264","0","0","0","48","0","1925"
