"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","run_id","run_duration"
"36",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,133,20,35,312,53,94,0,6,6,14,9,14.5994656085968
"37",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,131,5,19,309,78,105,3,5,5,0,22,43.5872855186462
"38",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,134,14,19,267,62,91,4,6,6,8,16,32.2058820724487
"39",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,144,22,16,290,56,86,4,10,10,12,10,22.1422412395477
"40",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,137,9,15,289,63,83,1,4,4,5,20,15.9950473308563
"41",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,133,3,24,277,67,102,9,2,2,1,1,19.6210870742798
"42",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,135,16,13,271,66,88,0,9,9,7,11,28.9272701740265
"43",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,133,16,23,265,76,107,4,4,4,12,13,19.4500291347504
"44",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,121,10,24,290,62,89,2,1,1,9,23,19.6446318626404
"45",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,133,25,17,327,67,93,1,8,8,17,17,16.2585864067078
"46",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,132,16,27,261,66,100,2,5,5,11,25,16.2642343044281
"47",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,134,5,18,288,65,99,11,5,5,0,24,17.0012435913086
"48",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,134,22,17,279,52,75,1,5,5,17,18,18.3437044620514
"49",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,141,8,12,273,71,88,2,3,3,5,12,18.5450568199158
"50",0.4,4,1.65472060558386,0.08,0.25,0.4,6.5,2.5,1000,1,2,125,20,17,258,74,100,1,8,8,12,19,15.1384334564209
"51",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,131,28,117,275,434,575,6,18,18,10,1,14.6183288097382
"52",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,130,33,165,261,446,638,2,25,25,8,13,12.9465239048004
"53",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,123,24,148,248,437,604,1,18,18,6,2,10.1530754566193
"54",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,129,44,109,277,451,591,2,29,29,15,4,9.49678206443787
"55",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,123,36,122,294,403,556,3,28,28,8,3,39.1919989585876
"56",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,124,29,135,244,418,583,13,17,17,12,16,32.6512432098389
"57",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,130,29,127,269,451,598,2,18,18,11,5,22.1888763904572
"58",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,138,30,115,282,455,603,10,23,23,7,12,17.7280011177063
"59",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,134,38,103,278,407,547,9,28,28,10,14,14.161012172699
"60",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,126,30,175,288,448,654,7,24,24,6,11,27.8862750530243
"61",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,142,26,100,267,445,567,1,21,21,5,21,20.5638329982758
"62",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,134,35,138,287,412,578,1,27,27,8,15,17.4105448722839
"63",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,138,26,125,271,489,680,43,23,23,3,17,14.770174741745
"64",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,140,31,120,294,450,610,16,24,24,7,6,15.3707530498505
"65",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,128,20,144,274,382,554,10,18,18,2,8,16.2755296230316
"66",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,130,40,116,261,471,618,3,28,28,12,10,16.7293953895569
"67",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,138,29,171,283,438,644,11,24,24,5,20,17.0426933765411
"68",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,126,26,128,325,459,617,8,22,22,4,22,17.288804769516
"69",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,145,35,151,306,412,592,6,23,23,12,24,18.7506229877472
"70",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,135,17,154,269,526,722,27,15,15,2,18,15.9256498813629
"71",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,121,37,125,274,421,578,3,29,29,8,7,11.9364776611328
"72",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,135,35,135,259,411,577,7,24,24,11,9,42.8339600563049
"73",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,127,36,141,281,429,596,0,26,26,10,19,26.6533203125
"74",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,126,30,151,266,441,635,18,25,25,5,23,19.3846783638
"75",0.4,4,7.0239718973171,0.08,0.25,0.4,6.5,2.5,1000,1,3,137,22,158,290,459,644,8,19,19,3,25,14.229368686676
"76",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,130,22,135,286,353,515,11,16,16,6,11,16.5509669780731
"77",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,134,19,159,310,414,612,21,18,18,1,9,33.2033398151398
"78",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,129,20,120,288,419,569,16,14,14,6,6,22.0181336402893
"79",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,127,25,159,306,376,557,1,21,21,4,8,19.0342705249786
"80",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,127,45,131,290,372,537,3,31,31,14,10,13.2428104877472
"81",0.4,4,6.16070844046772,0.08,0.25,0.4,6.5,2.5,1000,1,4,133,32,100,279,365,492,6,21,21,11,12,15.9288988113403
