1013,-0.569039697,northeast,22,FTA Region1,0.79,0.12,0.045,5.764921446000001,5.878937231,5.846131004
4043,-0.8156608470000001,south,20,FTA Region4,0.62,0.125,0.05,6.262349187000001,6.371630688,6.3347566760000005
6017,-0.234671573,south,20,FTA Region6,0.72,0.125,0.05,6.2546033560000005,6.379891692,6.345005276
1061,-0.6169959279999999,northeast,20,FTA Region1,0.79,0.12,0.045,5.766620932,5.88388949,5.82284261
4042,-0.121028585,south,19,FTA Region4,0.62,0.125,0.05,6.2667500810000005,6.3712862139999995,6.338989324
1003,2.60592746,northeast,18,FTA Region1,0.79,0.12,0.045,5.7492711629999995,5.881452906,5.86750483
3001,-0.705518447,south,17,FTA Region3,0.94,0.125,0.05,6.268695701,6.378466245,6.345173779
1057,-0.6005787020000001,northeast,17,FTA Region1,0.56,0.12,0.045,5.757807253999999,5.877464756,5.843415096
1064,-0.6315111999999999,northeast,17,FTA Region1,0.79,0.12,0.045,5.7667556189999996,5.888847084,5.839388489
7016,-1.167233089,midwest,17,FTA Region7,0.67,0.107,0.035,5.285248037,5.418471464,5.376746591
4140,-0.8915626409999999,south,17,FTA Region4,0.7,0.125,0.05,6.264977608,6.37837969,6.350535657999999
1040,-1.169055819,northeast,17,FTA Region1,0.56,0.12,0.045,5.765808261,5.893285799,5.85009167
7003,-0.9053719000000001,midwest,17,FTA Region7,0.67,0.107,0.035,5.28181747,5.428005765,5.36320688
1008,0.094663571,northeast,16,FTA Region1,0.79,0.12,0.045,5.762647883,5.877185901,5.837044087000001
6008,1.742495161,south,15,FTA Region6,0.63,0.125,0.05,6.266717492000001,6.374907876,6.373503147999999
6022,-0.47409538700000003,south,15,FTA Region6,0.84,0.125,0.05,6.256633108,6.385542643,6.371248427
4046,-0.293483515,south,15,FTA Region4,0.7,0.125,0.05,6.265237207999999,6.383814642000001,6.329154439
4032,-0.38037225799999996,south,15,FTA Region4,0.7,0.125,0.05,6.2527392729999995,6.377289079,6.370186223999999
4036,-0.485188952,south,15,FTA Region4,0.7,0.125,0.05,6.257291082999999,6.360716407999999,6.342040657999999
4029,0.866136725,south,14,FTA Region4,0.7,0.125,0.05,6.2548336639999995,6.372568705,6.327756029
4037,0.572788759,south,14,FTA Region4,0.7,0.125,0.05,6.246643821,6.369513577999999,6.325756171
3019,2.412206328,northeast,14,FTA Region3,0.79,0.12,0.045,5.75940254,5.886773734,5.832983655
4100,-1.3949448569999998,south,14,FTA Region4,0.5,0.125,0.05,6.259408989,6.379868954,6.364679702
4056,-1.268186636,south,14,FTA Region4,0.5,0.125,0.05,6.257454386,6.375234357,6.31876145
3030,2.614495288,south,14,FTA Region3,0.88,0.125,0.05,6.26441315,6.3816338120000005,6.337421345
4031,-0.920652355,south,13,FTA Region4,0.7,0.125,0.05,6.2502502060000005,6.363761662000001,6.347244673
4003,0.322781947,south,13,FTA Region4,0.8,0.125,0.05,6.2558980360000005,6.373376039,6.342837939
4063,-0.7750849790000001,south,13,FTA Region4,0.7,0.125,0.05,6.255176087000001,6.380364817999999,6.3274929239999995
4028,-0.334766458,south,13,FTA Region4,0.7,0.125,0.05,6.266559455,6.388538116,6.37679979
6048,1.160627508,south,13,FTA Region6,0.63,0.125,0.05,6.265918747000001,6.376128382999999,6.34730594
4110,-0.387580659,south,13,FTA Region4,0.5,0.125,0.05,6.24484647,6.363586007,6.363586007
4040,0.616221016,south,13,FTA Region4,0.7,0.125,0.05,6.26160649,6.366478082,6.343041401
3051,0.7755660870000001,south,12,FTA Region3,0.68,0.125,0.05,6.25755685,6.372986168,6.324780112000001
4014,-1.151491416,south,12,FTA Region4,0.63,0.125,0.05,6.260327328,6.378323345,6.377533101
6033,-0.491700549,south,12,FTA Region6,0.65,0.125,0.05,6.263728127,6.384985705,6.3392454229999995
4141,-0.88062661,south,12,FTA Region4,0.5,0.125,0.05,6.267642844,6.389096469,6.3847574510000005
4006,-0.9740504740000001,south,12,FTA Region4,0.63,0.125,0.05,6.255816987,6.371792175,6.361482442000001
6014,-1.084482782,south,12,FTA Region6,0.63,0.125,0.05,6.25287274,6.3785270370000005,6.348879181
4035,0.84940236,south,12,FTA Region4,0.7,0.125,0.05,6.255856204,6.37235879,6.331638363
2099,0.163671917,northeast,11,FTA Region2,0.59,0.12,0.045,5.749526297999999,5.888225066,5.814717569
2076,0.94117535,northeast,11,FTA Region2,0.59,0.12,0.045,5.758187314,5.883218053999999,5.84353036
3018,-0.47466402799999996,northeast,11,FTA Region3,0.79,0.12,0.045,5.766432046,5.903019697,5.875507657000001
5050,0.3934581,midwest,11,FTA Region5,0.76,0.107,0.035,5.278954981,5.4149107,5.332478875
3015,-0.734541879,northeast,11,FTA Region3,0.79,0.12,0.045,5.767812923999999,5.883510576,5.854808402000001
3025,-0.775529702,northeast,11,FTA Region3,0.79,0.12,0.045,5.759656041,5.871845744,5.811020318
6024,-0.579595041,south,11,FTA Region6,0.84,0.125,0.05,6.244568036,6.371097705,6.332192855
3080,-0.673477688,south,11,FTA Region3,0.73,0.125,0.05,6.250069174,6.357132042999999,6.341197988999999
6011,1.1191267040000001,south,11,FTA Region6,0.63,0.125,0.05,6.253685176,6.377636161,6.369202608999999
