agencyid,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
9031,0.08,0.025,4.819609641,4.943068698,4.875369704
9079,0.08,0.025,4.818885292,4.955132942,4.836534323
4004,0.125,0.05,6.263447056,6.378817158,6.340700248
5154,0.107,0.035,5.275780689,5.401006256,5.350240965
3,0.08,0.025,4.813855205,4.954828246,4.819474952
6012,0.125,0.05,6.249301486,6.367169531,6.346925473
3044,0.12,0.045,5.767025361,5.879722334,5.825281657
4007,0.125,0.05,6.259047355,6.371601657,6.338351579
5011,0.107,0.035,5.284610239,5.413747609,5.327022446
5017,0.107,0.035,5.283100341,5.413852746,5.340635147
7,0.08,0.025,4.830296746,4.960843236,4.846664079
4002,0.125,0.05,6.259706924,6.373150541,6.324133556
3054,0.12,0.045,5.762502618,5.90007365,5.837351609
9206,0.08,0.025,4.804292208,4.944135609,4.819010658
5056,0.107,0.035,5.276985081,5.415212982,5.34800315
9151,0.08,0.025,4.823330267,4.96147328,4.848598326
4001,0.125,0.05,6.255048856,6.365301249,6.349187658
3022,0.12,0.045,5.76703549,5.893722013,5.857405845
2113,0.12,0.045,5.772343694,5.88595191,5.837218203
4130,0.125,0.05,6.25869459,6.373865677,6.31775613
4138,0.125,0.05,6.257737657,6.360519094,6.329069466
8005,0.08,0.025,4.821348163,4.962092524,4.826093651
7001,0.107,0.035,5.277898145,5.414614883,5.326909371
9087,0.08,0.025,4.821614597,4.962334239,4.84955098
21,0.08,0.025,4.827093056,4.961201009,4.843469975
8006,0.08,0.025,4.823112686,4.956333026,4.859062206
8011,0.08,0.025,4.820711898,4.960983833,4.873490798
9001,0.08,0.025,4.820651186,4.952562925,4.858780388
9147,0.08,0.025,4.819104604,4.95773231,4.834339341
4087,0.125,0.05,6.253644746,6.368695634,6.348042846
9003,0.08,0.025,4.819738579,4.954742782,4.850482767
9171,0.08,0.025,4.826078912,4.966162783,4.848249614
5096,0.107,0.035,5.282069273,5.418659495,5.334073055
9144,0.08,0.025,4.824391211,4.955392194,4.835596567
9146,0.08,0.025,4.812930285,4.948470286,4.822543654
9026,0.08,0.025,4.822190856,4.957070253,4.854060008
9030,0.08,0.025,4.818316425,4.949196817,4.821570429
5024,0.107,0.035,5.280654588,5.410101623,5.325508074
9004,0.08,0.025,4.820165664,4.950506098,4.870875816
9008,0.08,0.025,4.814305641,4.937923741,4.859615018
9148,0.08,0.025,4.822088882,4.963561464,4.849994066
9014,0.08,0.025,4.818977696,4.943449924,4.831208928
9039,0.08,0.025,4.812185085,4.958139485,4.820103026
9154,0.08,0.025,4.824128878,4.957385671,4.863266
5057,0.107,0.035,5.270531891,5.413664924,5.310330062
5022,0.107,0.035,5.282079953,5.417469654,5.337641304
3008,0.125,0.05,6.255409143,6.374081054,6.345015812
5117,0.107,0.035,5.27885221,5.420588743,5.321774545
3023,0.12,0.045,5.758045203,5.883182704,5.825507503
9219,0.08,0.025,4.820253424,4.957841694,4.8444846
4047,0.125,0.05,6.247341992,6.377229714,6.317048392
5059,0.107,0.035,5.28226631,5.408745892,5.372763729
9090,0.08,0.025,4.816430006,4.949162752,4.868763701
9162,0.08,0.025,4.815508499,4.941802538,4.842852284
24,0.08,0.025,4.827386162,4.964657294,4.832937082
